"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"George Benson";"In flight";"The world is a ghetto";"1977";"WARNER BROS";1719967346;1719967924;"https://music.apple.com/fr/album/the-world-is-a-ghetto/265609052?i=265609186&uo=4";;"https://open.spotify.com/track/5uihlhYwR3rtC5ca6gbMny";
"Bjork";"Post";"Isobel";"1995";"BARCLAY";1719967920;1719968262;"https://music.apple.com/fr/album/isobel-dims-hi-compact-french-touch/1740503503?i=1740503717&uo=4";"https://www.deezer.com/track/2629694222";"https://open.spotify.com/track/2FXjdR7wEPcD5u4Ylqfd5i";
"Charlotte Day Wilson";"Cyan blue";"Money";"2024";"STONE WOMAN MUSIC";1719968259;1719968473;"https://music.apple.com/fr/album/money/1728298601?i=1728299006&uo=4";"https://www.deezer.com/track/2746842121";"https://open.spotify.com/track/5Kz3bfVcSB3MyZ9Po0vlH6";
"Isaac Hayes";"Bof/Three tough guys/Hayes (remast.)";"Run fay run";"1974";"STAX";1719968472;1719968638;"https://music.apple.com/fr/album/run-fay-run/1443215275?i=1443215800&uo=4";;;
"Rob";"Ghana soundz: Afro-beat,funk & fusion in 1970's Ghana";"Make it fast, make it slow";"1978";"SOUNDWAY REC";1719968645;1719968968;;;;
"Vanishing Twin";"Afternoon X";"Lotus Eater";"2023";"FIRE RECORDS";1719968959;1719969221;"https://music.apple.com/fr/album/lotus-eater/1691590052?i=1691590651&uo=4";;"https://open.spotify.com/track/1NzJ4cU6bLusMaIZCNn73U";
"Unloved";"Heartbreak";"Lee";"2018";"HEAVENLY RECORDINGS";1719969195;1719969415;"https://music.apple.com/fr/album/lee/1435557964?i=1435558155&uo=4";;;
"The Beach Boys";"Pet Sounds";"I know there's an answer";"1966";"EMI";1719969414;1719969600;"https://music.apple.com/fr/album/i-know-theres-an-answer/1440841241?i=1440841260&uo=4";;"https://open.spotify.com/track/2NqMUVziSGdz1MizMFu3aT";
"John Barry";"The best of john barry - themeology";"The persuaders theme (Amicalement Votre)";"1972";"COLOMBIA";1719969600;1719969726;;;;
"Charles Bradley";"Changes";"Things we do for love";"2016";"DUNHAM / DAPTONE RECORDS";1719969723;1719969931;;"https://www.deezer.com/track/779502692";"https://open.spotify.com/track/6f3hzGasIjbHOjvwmylCze";
"M";"Le baptême";"Le baptême";"1997";"DELEBEL";1719969926;1719970173;"https://music.apple.com/fr/album/le-bapt%C3%AAme/693827681?i=693828129&uo=4";;;
"Atlantis Jazz Ensemble";"Celestial suite";"Breaking dawn";"2023";"MARLOW RECORDS";1719970170;1719970547;;;"https://open.spotify.com/track/3NzcwfBTNOxbIRLhYAxTer";
"Alex Ebert";"Automatic youth";"Automatic youth";"2019";"AWAL";1719970553;1719970720;"https://music.apple.com/fr/album/automatic-youth/1464160573?i=1464160580&uo=4";;"https://open.spotify.com/track/2t20VZnVl7rAOCp8QkIIpT";
"Destiny's Child";"The writing´s on the wall";"Bills, bills, bills";"1999";"COLUMBIA";1719970717;1719970974;"https://music.apple.com/fr/album/bills-bills-bills/258513023?i=258513478&uo=4";;"https://open.spotify.com/track/1Oi2zpmL81Q0yScF1zxaC0";
"Frank Leone";"Fish";"Morning dew (ft. Coco O.)";"2024";"FOOL S GOLD RECORDS";1719970973;1719971140;;;;
"Molly Lewis";"On the lips";"Crushed velvet";"2024";"JAGJAGUWAR";1719971138;1719971329;;;"https://open.spotify.com/track/0ot8VA36fmxBlIqa5xbnf7";
"Quilt";"Held in splendor";"Eye of the pearl";"2014";"KEMADO RECORDS";1719971334;1719971524;"https://music.apple.com/fr/album/eye-of-the-pearl/1169600686?i=1169600958&uo=4";;"https://open.spotify.com/track/1kWuaV6b0FBtejY6MVivlB";
"Jeanne-Marie Sens";"Jeu de mots";"Tape, tape, tape";"1974";"ATLANTIC";1719971520;1719971683;"https://music.apple.com/fr/album/tape-tape-tape/1352992750?i=1352993502&uo=4";"https://www.deezer.com/track/466720752";"https://open.spotify.com/track/5OIX4UuMkADDrLhXlhvoAc";
"Duo Perlamusica";"Fantaisie";"Fantasia pour guitare et piano op 145 : 2. Vivacissimo";"2017";"CLAVES";1719971682;1719971882;;;;
"Buena Vista Social Club";"Buena Vista social club";"Candela";"1997";"NIGT & D";1719971882;1719972209;;;"https://open.spotify.com/track/1caT2YklnqZq35IcQ0oRLj";
"Manu Chao";"Esperanza";"Mr. Bobby";"2001";"VIRGIN";1719972220;1719972442;;;;
"Khruangbin";"Hasta el cielo";"Sisters & brothers";"2019";"NIGHT TIME STORIES";1719972435;1719972676;"https://music.apple.com/fr/album/sisters-brothers/1464017152?i=1464017316&uo=4";"https://www.deezer.com/track/681060002";"https://open.spotify.com/track/0nXDuDbcL0dl9SXvnMlVVD";
"Lossapardo";"Nostalgia";"Nostalgia";"2024";"ROCHE MUSIQUE";1719972671;1719972923;"https://music.apple.com/fr/album/nostalgia/1738458442?i=1738459683&uo=4";"https://www.deezer.com/track/2562069542";"https://open.spotify.com/track/0wJPMQggJBautrP5cRmfQO";
"Massive Attack";"Mezzanine";"Teardrop";"1998";"VIRGIN";1719972925;1719973252;"https://music.apple.com/fr/album/teardrop/724466069?i=724466700&uo=4";;"https://open.spotify.com/track/67Hna13dNDkZvBpTXRIaOJ";
"Asta Hiroki";"Entropy";"Dahlias";"2021";"JALAPENO RECORDS";1719973240;1719973403;"https://music.apple.com/fr/album/dahlias/1555342271?i=1555342420&uo=4";;"https://open.spotify.com/track/3Cu508bg0ZXGMEa8BC9Efe";
"Jeff Buckley";"Grace [legacy edition]";"Lover, you should've come over";"1994";"COLUMBIA";1719973397;1719973797;;;"https://open.spotify.com/track/6Jv7kjGkhY2fT4yuBF3aTz";
"Mazzy Star";"So Tonight That I Might See";"Fade into you";"1993";"CAPITOL";1719973789;1719974073;;"https://www.deezer.com/track/3360821";"https://open.spotify.com/track/1LzNfuep1bnAUR9skqdHCK";
"Debashish Bhattacharya";"Mahima";"Lullabai";"2003";"WORLD MUSIC";1719974076;1719974315;;;;
"Titi Robin";"Rakhi";"Neem";"2002";"NAIVE";1719974315;1719974554;;;"https://open.spotify.com/track/3Q8eyU9GoLYgBUTVFOYJ8S";
"Madeleine Peyroux";"Careless love";"You're gonna make me lonesome when you go";"2004";"UNIVERSAL";1719974550;1719974747;"https://music.apple.com/fr/album/youre-gonna-make-me-lonesome-when-you-go/1440947714?i=1440947718&uo=4";;"https://open.spotify.com/track/7AldoMETK8ZEoQSkGkOfuK";
"Daniel Villarreal";"Lados B";"Bring it";"2023";"INTERNATIONAL ANTHEM";1719974748;1719975073;;"https://www.deezer.com/track/2357336265";"https://open.spotify.com/track/3jI3Fya8BCuR8z90DQgsRW";
"Oscar Jerome";"The spoon";"Use it";"2022";"JEROMEO";1719975069;1719975417;"https://music.apple.com/fr/album/use-it/1632523766?i=1632524794&uo=4";"https://www.deezer.com/track/1810605907";"https://open.spotify.com/track/4Vu0WbS4S7TdsIoDf8lLls";
"Marcus King";"Mood swings";"Inglewood motel (halestorm)";"2024";"ISLAND DEF JAM";1719975412;1719975725;;;"https://open.spotify.com/track/0boUJBsxCjOMihfXlxxuQ9";
"L'Imperatrice";"Pulsar";"Déjà-vue";"2024";"MICROQLIMA";1719975734;1719975963;;;"https://open.spotify.com/track/5cNi0fCmSFB657hTeeIzXZ";
"Bruno Berle";"No reino dos afetos";"Quero dizer";"2022";"FAR OUT RECORDINGS";1719975963;1719976190;;;"https://open.spotify.com/track/4D3v7xMHUcTMKiqnbqQvfP";
"Baron Retif & Concepcion Perez";"Funk";"On fait comment";"2023";"MOSTLA / MUSIQUE LARGE";1719976189;1719976425;;;"https://open.spotify.com/track/0csQIZy0hZjzvcBddxxAiv";
"Charles Stepney";"Step on step";"In the basement";"2022";"INTERNATIONAL ANTHEM RECORDING CO.";1719976424;1719976734;"https://music.apple.com/fr/album/in-the-basement/1624680627?i=1624680912&uo=4";;"https://open.spotify.com/track/5Veq9CAhvGmIs8MGXPh3HA";
"Lonnie Liston Smith";"Visions of a  New World";"A chance for peace";"1975";"RCA";1719976736;1719977055;"https://music.apple.com/fr/album/a-chance-for-peace/1621366016?i=1621366278&uo=4";;"https://open.spotify.com/track/5Nt5jH0oX4qktPE6kxEPx3";
"Jamiroquai";"Emergency on planet earth";"Blow Your Mind";"1993";"SQUATT";1719977048;1719977555;;;"https://open.spotify.com/track/5rzmEiv5KA1OskLzcqRDFK";
"Cousin Kula";"Vitamin D";"Poisoned";"2024";"RHYTHM SECTION ITNL.";1719977536;1719977777;;;"https://open.spotify.com/track/7bGLXkn45QhUOPGj8m3oDO";
"Forever Pavot";"L'idiophone";"Les enjambées";"2023";"BORN BAD RECORDS";1719977774;1719977954;"https://music.apple.com/fr/album/les-enjamb%C3%A9es/1662654098?i=1662655687&uo=4";;"https://open.spotify.com/track/5dbiYkjMvgJBNklMGtaXfM";
"Laurent Bardainne & Tigre D’eau Douce";"Hymne au soleil";"Oiseau (feat. Bertrand Belin)";"2022";"HEAVENLY SWEETNESS";1719977957;1719978258;"https://music.apple.com/fr/album/oiseau-feat-bertrand-belin/1593832914?i=1593834174&uo=4";;;
"Tricky";"Maxinquaye";"Hell is round the corner";"1995";"ISLAND";1719978257;1719978479;;;"https://open.spotify.com/track/2wC0qK8JN6gblb0ZJzE2d9";
"Portishead";"So classic - it sounds different";"Glory box (Edit)";"1994";"DIGGIFECTS";1719978478;1719978691;;;;
"Emile Londonien";"Legacy";"Laziness";"2023";"NAIVE";1719978689;1719978895;"https://music.apple.com/fr/album/laziness/1652682712?i=1652683212&uo=4";;"https://open.spotify.com/track/4LSlh0fhVnTIJpID4w4I0e";
"The Rh Factor";"Hard groove";"Poetry";"2003";"VERVE";1719978898;1719979239;;;"https://open.spotify.com/track/3nSECoLmCiUbpQVJtpmS1I";
"Richard Evans";"Dealing With Hard Times";"Mercy mercy me (the ecology) (album version)";"1971";"RHINO ATLANTIC";1719979266;1719979326;;;;
"Marvin Gaye";"20 hits";"Pride and Joy";"1963";"MOTOWN";1719979324;1719979466;"https://music.apple.com/fr/album/pride-and-joy/1442021816?i=1442021821&uo=4";"https://www.deezer.com/track/540215312";;
"Jungle Brothers";"Straight out the jungle";"What's going on";"1988";"WARLOCK RECORDS";1719979463;1719979707;;;"https://open.spotify.com/track/0rdAETW3rFNkY82AdH8z3P";
"Bacao Rhythm & Steel Band";"BRSB";"Love for the sake of dub";"2024";"BIG CROWN RECORDS";1719979706;1719979878;;;"https://open.spotify.com/track/0OilOXHMtzPRjp40UbwsfN";
"Paul Simon";"Rhythm of the saints";"Spirit voices";"1990";"WB";1719979879;1719980109;"https://music.apple.com/fr/album/spirit-voices/380625640?i=380625798&uo=4";;"https://open.spotify.com/track/6bzSqq9LsvUsKwCrJh1Ls4";
"Marina Allen";"Eight pointed star";"Easy";"2024";"FIRE RECORDS";1719980100;1719980369;;"https://www.deezer.com/track/2682960962";"https://open.spotify.com/track/1fP3Iff7VLDNr6B9DrgMtd";
"Graham Reynolds";"BOF  / Before midnight";"Before midnight : Captain Nina";"2013";"MILAN";1719980363;1719980434;;;;
"Bernard Lavilliers";"Les Barbares";"Fensh vallée";"1976";"BARCLAY";1719980430;1719980609;;;;
"Los Yoyi";"Yoyi";"Banana";"1977";"EGREM BAJO";1719980610;1719980887;;;;
"Jennifer Wharton S Bonegasm";"Bonegasm";"Big long slidin' thing";"2019";"SUNNYSIDE COMMUNICATIONS";1719980886;1719981093;;;;
"Peter Moore";"Life force";"3 Mélodies op 7 : 1. Après un rêve - arrangement pour trombone et piano";"2018";"RUBICON CLASSICS";1719981089;1719981255;;;;
"Cachao & Su Ritmo Caliente";"From Havana to New York";"Trombon criollo";"1957";"CANEY RECORDS";1719981249;1719981434;;;;
"Mt Jones";"In my arms";"In my arms";"2023";"AUTOPRODUCTION";1719981434;1719981687;;;"https://open.spotify.com/track/3MGufkA4i2p3o2A3wlHTwz";
"Kate Bush";"The whole story";"Running up that hill";"1985";"EMI";1719981680;1719981971;;"https://www.deezer.com/track/132042572";;
"Newcleus";"Compil. / Product placement breaks";"Destination earth";"1984";"PRODUCT PLACEMENT BREAKS";1719981962;1719982180;;;;
"Emilie Simon";"Vegetal";"Opium";"2006";"BARCLAY";1719982172;1719982340;;;"https://open.spotify.com/track/2tUeePPjhPuf1UlrUmHsHp";
"Loving";"Any light";"Blue";"2024";"LAST GANG RECORDS / MNRK";1719982335;1719982476;;;"https://open.spotify.com/track/1ZSuQfSq5huQ3lT83RLQMm";
"The Rolling Stones";"Flowers";"Sittin' On A Fence";"1967";"ABKCO RECORD";1719982470;1719982652;"https://music.apple.com/fr/album/sittin-on-a-fence/1469558372?i=1469560220&uo=4";;"https://open.spotify.com/track/2DL6pZw0UBIMaPfdYbNWtd";
"Joe Pass";"12 string suitar / The Stones jazz";"The stones jazz : ( I can't get no) satisfaction";"1963";"BGO RECORDS";1719982649;1719982839;;;;
"Gene Harris";"Funky notes from the West coast";"Losalamitos latinfunklovesong";"1994";"BLUE NOTE";1719982801;1719982986;;;;
"Earth Wind & Fire";"The very best of";"Fantasy";"1978";"CBS";1719982982;1719983206;;;;
"Sharky";"Up till now";"Hawaii";"2024";"TRU THOUGHTS";1719983206;1719983388;"https://music.apple.com/fr/album/hawaii-instrumental/1732258049?i=1732258188&uo=4";;"https://open.spotify.com/track/2zX8I0rAFJGSTbaVo5nINp";
"Hiatus Kaiyote";"Love heart cheat code";"Dimitri";"2024";"BRAINFEEDER";1719983383;1719983650;"https://music.apple.com/fr/album/dimitri/1733341271?i=1733341435&uo=4";"https://www.deezer.com/track/2725361411";"https://open.spotify.com/track/1a4uzwj1AaLhwWN8rUQxjg";
"Pandapendu";"Satellites";"Smoothy";"2024";"UPTON PARK";1719983647;1719983854;"https://music.apple.com/fr/album/smoothy/1732677099?i=1732677950&uo=4";"https://www.deezer.com/track/2675421692";"https://open.spotify.com/track/0apYkGBXfuVogCvl5atgnt";
"The Clash";"The collection";"Rock the casbah";"1982";"CASTLE COMMUNICATIONS";1719983851;1719984070;"https://music.apple.com/fr/album/rock-the-casbah/685585931?i=685585942&uo=4";"https://www.deezer.com/track/12711113";;
"Ladylike Lily";"Les graines oubliées";"Les pages arrachées";"2023";"LABEL MINOUCH";1719984067;1719984178;"https://music.apple.com/fr/album/les-pages-arrach%C3%A9es/1670983908?i=1670984446&uo=4";"https://www.deezer.com/track/2143937647";"https://open.spotify.com/track/4MFZ7rkrqw6ug1kuGU2uLY";
"Ornette";"Crazy";"The lion $ the dall";"2011";"DISCO";1719984176;1719984418;;;;
"Floraleda Sacchi";"Ryuichi Sakamoto by Floraleda Sacchi";"High heels";"2023";"AMADEUS ARTE";1719984417;1719984601;"https://music.apple.com/fr/album/high-heels/1687271072?i=1687271080&uo=4";"https://www.deezer.com/track/2494712831";"https://open.spotify.com/track/7not6gv0A7GzuBDL2DU8XU";
"Flavia Coelho";"Mama Santa";"Mama Santa";"2024";"PIAS";1719984595;1719984811;;;"https://open.spotify.com/track/0k9csJc5jx6aVKAqzHCwsI";
"Hattie Littles";"Motown sings Motown treasures";"Money (That's What I Want)";"1962";"MOTOWN RECORDS";1719984811;1719985056;;"https://www.deezer.com/track/1157113";;
"Angela Grey";"Prisoner of love";"I wish that I could love you less";"2024";"GREY ENTERTAINMENT";1719985054;1719985262;"https://music.apple.com/fr/album/i-wish-that-i-could-love-you-less/1728929632?i=1728929633&uo=4";"https://www.deezer.com/track/2749019521";"https://open.spotify.com/track/1vaAhSZ8OLFCPUq370E1wZ";
"Hermanos Gutierrez";"El bueno y el malo";"Thunderbird";"2022";"EASY EYE SOUND / CONCORD";1719985260;1719985467;"https://music.apple.com/fr/album/thunderbird/1632317760?i=1632317774&uo=4";;"https://open.spotify.com/track/36gUdwmMhZXcwOSaUkTPty";
"Jean Louis Murat";"Le moujik et sa femme";"L'au-delà";"2002";"LABELS";1719985463;1719985719;;;;
"Liquid Jane";"Sofa";"Sofa";"2024";"AUTOPRODUCTION";1719985717;1719985879;"https://music.apple.com/fr/album/sofa/1748906518?i=1748906520&uo=4";;"https://open.spotify.com/track/42bQmK8QzJAwywTVLzr51A";
"Barbara Lewis";"The many grooves of Barbara Lewis (Remastered 2023)";"Windmills of your mind";"1969";"CRAFT RECORDINGS";1719985877;1719986111;"https://music.apple.com/fr/album/windmills-of-your-mind/1468025615?i=1468025618&uo=4";;;
"Karate Boogaloo";"Hold your horses";"Ps emmylou";"2024";"COLEMINE RECORDS";1719986110;1719986325;"https://music.apple.com/fr/album/ps-emmylou/1726622737?i=1726622971&uo=4";;"https://open.spotify.com/track/2PTN1Dm3PjoxB99aT4RRzL";
"Marcus King";"Mood swings";"Soul it screams";"2024";"ISLAND DEF JAM";1719986323;1719986532;;;"https://open.spotify.com/track/7IQy2DermNpst7GLwFFYl7";
"Tim Buckley";"Morning glory / Anthology";"So lonely";"1969";"";1719986531;1719986737;;;"https://open.spotify.com/track/386ua042HcOgvdoKqG4Yge";
"Tropic Hotel";"Tum tum bossa";"Je ne suis plus toi et moi";"2024";"VELVETICA MUSIC";1719986736;1719986897;;;"https://open.spotify.com/track/7jaNJHX2eiSrngNdX00u2g";
"Fleetwood Mac";"Bare Trees";"Sunny side of heaven";"1972";"WARNER RECORDS";1719986895;1719987083;"https://music.apple.com/fr/album/sunny-side-of-heaven/1217910932?i=1217911382&uo=4";"https://www.deezer.com/track/2898918901";"https://open.spotify.com/track/3kpH1izy0QrjIDBFbz83YD";
"Robbie Williams";"Greatest hits";"Millennium";"2004";"CHRYSALIS";1719987080;1719987303;;;;
"Asaf Avidan";"Anagnorisis";"Wildfire";"2020";"PLAY TWO";1719987297;1719987521;"https://music.apple.com/fr/album/wildfire/1586605136?i=1586605658&uo=4";;"https://open.spotify.com/track/2gF0gdIWu8H4gc9EqB4i5Z";
"Cedric Burnside";"I be trying";"I be trying";"2021";"SINGLE LOCK RECORDS";1719987517;1719987728;"https://music.apple.com/fr/album/i-be-trying/1559282671?i=1559282674&uo=4";"https://www.deezer.com/track/1342644272";"https://open.spotify.com/track/2lwVx23dtmqVZvjf1sLsah";
"Steve Hiett";"Girls in the grass";"Walking across the field";"2019";"BE WITH RECORDS";1719987725;1719987849;;"https://www.deezer.com/track/721020742";"https://open.spotify.com/track/2Jfa5NYvmO1LunCASzyxxt";
"The Newday";"Skyway Soul : Gary, Indiana";"Wait a minute girl";"1970";"";1719987849;1719987992;;;"https://open.spotify.com/track/4KuAvNjWZODfGE2x6yDGSd";
"Joel Sarakula";"Island time";"Give it up for nature";"2023";"LEGERE RECORDINGS";1719987990;1719988199;"https://music.apple.com/fr/album/give-it-up-for-nature/1658983548?i=1658984113&uo=4";"https://www.deezer.com/track/2062421467";"https://open.spotify.com/track/2iBYNDEyyT6IQo8Ldoqsvv";
"David Walters";"Soul tropical";"Soul tropical";"2023";"HEAVENLY SWEETNESS";1719988197;1719988419;"https://music.apple.com/fr/album/soul-tropical/1661538859?i=1661539966&uo=4";;"https://open.spotify.com/track/45zW45OwpItrFbKzAW9jA0";
"Angelo Outlaw";"Axis of time";"Diamonds";"2024";"ERASERHOOD SOUND";1719988418;1719988596;;"https://www.deezer.com/track/2309677325";"https://open.spotify.com/track/4DRyAGaikIFpC6fb2bFmKo";
"Oxmo Puccino";"365 jours";"365 Jours";"2009";"CINQ7/WAGRAM";1719988593;1719988841;"https://music.apple.com/fr/album/365-jours/1550635630?i=1550635634&uo=4";"https://www.deezer.com/track/1212824772";"https://open.spotify.com/track/2jv4uTYClYDT51Z88wN4jF";
"Bakar";"Nobody's home";"Runaway";"2022";"BLACK BUTTER";1719988839;1719988993;;;"https://open.spotify.com/track/5THoQmGc0Jhmd8sJLG3wHu";
"Barry Mcguire";"Compil. / The Wrecking Crew";"Eve of destruction";"1965";"ROCK BEAT RECORDS";1719988851;1719989206;;"https://www.deezer.com/track/1137255";"https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN";
"Kepa";"Divine morphine";"Messe hla - b27";"2021";"LES EDITIONS MILIANI";1719989204;1719989451;;"https://www.deezer.com/track/2178214787";"https://open.spotify.com/track/5JAJv7HfoMjO8vxwu442lq";
"Pembroke Tenneson";"Gravity to you (EP)";"Bipolar love";"2016";"";1719989442;1719989607;;;"https://open.spotify.com/track/17DpQ82CAJOKIQTsqO3Q8Z";
"Céu";"Céu";"10 contados";"2005";"O+MUSIC";1719989606;1719989811;;;;
"Morcheeba";"Blood like lemonade";"Even though";"2010";"PLAY IT AGAIN SAM";1719989811;1719990070;;;"https://open.spotify.com/track/5LubqaYniu0ovQctZgWOAr";
"Gonzales";"Solo piano";"Manifesto";"2004";"Nø Førmat";1719990069;1719990257;;;;
"Henri Salvador";"Chansons douces / Salvador s'amuse";"Tout doux, tout doucement";"1959";"POLYGRAM";1719990249;1719990382;;;;
"The Hi-Lo's";"Attention";"Clap Your Hands";"1957";"JACKPOT";1719990381;1719990553;;"https://www.deezer.com/track/85584530";;
"Dele Sosimi & The Estuary 21";"For the love of it";"For the love of it (feat. Get Cape. Wear Cape. Fly)";"2023";"WAH WAH 45S";1719990552;1719990871;;;;
"African Head Charge";"Microdosing";"Microdosing";"2023";"ON-U SOUND";1719990870;1719991091;;"https://www.deezer.com/track/2163888057";"https://open.spotify.com/track/08yH12opbafXqCAYPEsWTm";
"Beastie Boys";"Licensed to Ill";"Girls";"1986";"DEF JAM RECO";1719991089;1719991222;;;"https://open.spotify.com/track/5h40ovzXu7rF7Giwb9oXYy";
"Beck";"Guero";"Girl";"2005";"INTERSCOP";1719991221;1719991431;;;"https://open.spotify.com/track/3DgNj1aYbSRVoVO8yX7DRt";
"Dan Penn";"Close to me";"Lovely ladies";"1964";"ACE RECORDS";1719991428;1719991562;;;;
"Ike And Tina Turner";"Come together/ Nuff said";"Honky tonk women";"1970";"BGO RECORDS";1719991556;1719991742;;;;
"Yummi Wisler Guitar Combo";"The albanian connection";"Meet me by the mausoleum (rainy night in Tirana)";"2024";"RAW TAPES";1719991742;1719991913;;;"https://open.spotify.com/track/4r7HJJYIRyPMa58CPdGDxD";
"Francoiz Breut";"Vif !";"Lichens";"2024";"62 RECORDS / PIAS";1719991908;1719992112;"https://music.apple.com/fr/album/lichens/1735587224?i=1735588019&uo=4";"https://www.deezer.com/track/2700878582";;
"Tamaradah";"Ertévé";"And Ethiopia";"2023";"AUTOPRODUCTION";1719992111;1719992344;;;;
"Belleruche";"Tru thoughts 10th anniversary";"Northern girls";"2007";"TRU THOUGHTS";1719992338;1719992558;;;"https://open.spotify.com/track/0w4IsOVg9yT4giB2d01YAO";
"Luiz Bonfa";"Plays great songs";"Séville";"1967";"DOT";1719992555;1719992691;;;;
"Don & The Goodtimes";"The Jack Nitzsche story / Vol. 1 : Hearing is believing";"I could be so good to you";"1967";"ACE";1719992682;1719992880;;"https://www.deezer.com/track/11890470";"https://open.spotify.com/track/59WMWQ3iH0TEMSfuWUYAWH";
"Carolyn Crawford";"Birth Of soul / Vol. 3";"When someone's good to you";"1964";"ACE RECORDS";1719992876;1719993022;;"https://www.deezer.com/track/606120282";;
"Timber Timbre";"Sincerely, future pollution";"Grifting";"2017";"CITY SLANG";1719993020;1719993280;"https://music.apple.com/fr/album/grifting/1721066655?i=1721066971&uo=4";;"https://open.spotify.com/track/2Pm3LHgIJeIdhXrMMDveRz";
"Call Sender";"Palm forest (Shawn Lee remix)";"Palm forest (Shawn Lee remix)";"2024";"TRU THOUGHTS";1719993280;1719993538;;;;
"Forest Law";"Zero";"Til the";"2024";"BONGO JOE";1719993536;1719993798;;"https://www.deezer.com/track/2744330801";"https://open.spotify.com/track/4qQoIqqzukjCXDskeUkXKi";
"Kumisolo";"Kabuki femme fatale";"Ping pong machine";"2017";"ALTER K";1719993798;1719993978;"https://music.apple.com/fr/album/ping-pong-machine/1441875019?i=1441875031&uo=4";;"https://open.spotify.com/track/5YOULgZH1mEd2LlOSkXj0e";
"The Jam";"Bof / Billy elliot";"A town called malice";"1982";"INTERSCOPE RECORDS";1719993977;1719994149;;;;
"The Real Tuesday Weld";"Bathtime in clerkenwell";"The house of the clerkenwell kid";"2004";"PLAY IT AGAIN SAM";1719994145;1719994355;;;;
"Raphael Gualazzi";"Reality And Fantasy";"Reality and fantasy";"2011";"UNIVERSAL";1719994351;1719994584;;;;
"Paolo Conte";"Dolce Italia  / Le meilleur de l'Italie";"Chi siamo noi ?";"1975";"ARIOLA";1719994582;1719994816;;;;
"Diana Damrau";"Coloraturas";"Un bal masqué : Un ballo in maschera : 1. Volta la terrea fronte alle stelle (Acte I) Air d'Oscar";"2009";"VIRGIN CLASSICS";1719994814;1719994933;;;;
"Chapelier Fou";"Ensemb7e";"Les métamorphoses du vide";"2022";"ICI D'AILLEURS";1719994932;1719995118;;"https://www.deezer.com/track/833267752";;
"James Jim";"Regions of light and sound of god";"State of the art (A.E.I.O.U.)";"2013";"ANTONE'S RECORDS";1719995118;1719995435;;;;
"Christophe";"Les mots bleus";"Les mots bleus";"1974";"DREYFUS";1719995425;1719995674;;;"https://open.spotify.com/track/310W5nkTVWAOXiK7tuyeIm";
"Roosevelt Nettles";"West coast northern soul";"Heartaches and troubles";"1961";"OUTTA SIGHT";1719995671;1719995799;;;;
"New Visionaries";"Roadmaps";"Scandinavian railways";"2024";"LOVEMONK RECORDS";1719995800;1719996037;;;"https://open.spotify.com/track/6yGF1WQL9VxJQ78ZBH33st";
"Kuf Knotz & Christine Elise";"Hypnagogia";"Flower (ft. Mother Lion)";"2024";"AUTOPRODUCTION";1719996036;1719996230;;;;
"Radiohead";"The king of limbs";"Lotus flower";"2011";"TICKERTAPE";1719996230;1719996532;;;"https://open.spotify.com/track/2QeutlLcJf2V1cMUUsDFT1";
"Robert Le Magnifique";"Fuck the hell yeah !";"Play time (casemate xxvi)";"2015";"YOTANKA";1719996527;1719996574;;"https://www.deezer.com/track/2028190067";;
"Os Mutantes";"Everything is possible !";"A minha menina";"1968";"WARNER";1719996570;1719996852;;"https://www.deezer.com/track/1560122";"https://open.spotify.com/track/0lGEWOZvMexZFXckBJxlVO";
"Sixto Rodriguez";"Cold fact";"Hate street dialogue";"1970";"LIGHT IN THE ATTIC RECORDS";1719996851;1719997001;;;;
"Nick Waterhouse";"The fooler";"(No) commitment";"2023";"INNOVATIVE LEISURE";1719996999;1719997204;;;"https://open.spotify.com/track/27YpXbIrwQ2iCQSNShXP4j";
"Four Tet";"Rounds";"Hands";"2003";"DOMINO";1719997202;1719997543;;;"https://open.spotify.com/track/6NjDSYmK9gIMXL05v55nql";
"DJ Shadow";"The private press";"Six days";"2002";"UNIVERSAL";1719997539;1719997838;;;"https://open.spotify.com/track/525vGLj61tNqCToVJ9cPzp";
"Musical Youth";"The best of";"Pass the dutchie";"1982";"MCA RECORDS";1719997836;1719998039;;;"https://open.spotify.com/track/4qsHN0A1uiS4stUbDjlUbe";
"Johnny Hawksworth's Caribbean Sound";"Compilation / West indies funk / Vol.3";"Sandy beach";"1969";"TRANS AIR RECORDS";1719998036;1719998117;;;;
"Alain Souchon";"Ecoutez d'ou ma peine vient";"Parachute doré";"2008";"VIRGIN";1719998117;1719998362;;;"https://open.spotify.com/track/5DfKVF1Yu0QV3Q9BPMlubA";
"The Coconuts";"Kid Creole - Ze August Darnell sessions";"Ticket to the tropics (12 version) (Remastered)";"1983";"ZE RECORDS";1719998359;1719998748;;;;
"Bruxas";"Más profundo";"Plantas falsas";"2017";"DEKMANTEL";1719998747;1719999111;"https://music.apple.com/fr/album/plantas-falsas/1251021795?i=1251022055&uo=4";;"https://open.spotify.com/track/7fM8Y18DzAoNiDOv2ZGyJm";
"Cassandra Jenkins";"My light, my destroyer";"Omakase";"2024";"DEAD OCEANS";1719999108;1719999389;;"https://www.deezer.com/track/2725720031";"https://open.spotify.com/track/4d73VPyismwKXKQTiUaKg3";
