"Artist";"Album";"Song";"Year";"start";"end";"deezer";"spotify";"Label";"itunes"
"Woo";"A La Luna";"A La Luna";1991;1708768795;1708768979;;;;
"Linda Perhacs";"Parallelograms";"Hey, who really cares";1970;1708768977;1708769130;"https://www.deezer.com/track/79778772";"https://open.spotify.com/track/1EY7zEIE32twYy7zL05WG2";;
"Bruno Berle";"Te amar eterno";"Te amar eterno";2023;1708769127;1708769264;;;"FAR OUT RECORDINGS";
"Grateful Dead";"American beauty";"Ripple";1970;1708769263;1708769513;;;"WARNER BROS";
"Henri Salvador";"Homme studio";"Et des mandolines";1974;1708769513;1708769648;;;"BORN BAD RECORDS";
"Joe Hisaishi";"BOF / A scene at the sea";"A scene at the sea : Silent love (forever)";2001;1708769645;1708769855;;;"MILAN";
"Fra Lippo Lippi";"The Best of / succès et succès réenregistrés de Fra Lippo Lippi";"Shouldn't have to be like that";1986;1708769853;1708770078;;"https://open.spotify.com/track/7KDqEhCCUSDaUgB2NC0gul";"RUNE GRAMMOFON";
"Nourished By Time";"Erotic probiotic 2";"Soap party";2023;1708770072;1708770416;;"https://open.spotify.com/track/5e9vkZEakDPQ5h7khB2yRc";"SCENIC ROUTE RECORDS";
"J Dilla";"Donuts";"Time: The donut the heart";2006;1708770415;1708770514;;;"STONES THROW RECORDS";
"Al Green";"I'm Still in love with you";"I'm Glad You're Mine";1972;1708770514;1708770684;"https://www.deezer.com/track/136370898";"https://open.spotify.com/track/4fiC7RTotySw4ZeYaCSsXP";"HI";"https://music.apple.com/fr/album/im-glad-youre-mine/1133378411?i=1133378682&uo=4"
"Jackie Mittoo";"The keyboard king at Studio One";"Henry the great";1971;1708770681;1708770891;;;"SOULJAZZ";
"Palatine";"Phantômaton";"Les glaces ou le feu";2023;1708770889;1708771109;;"https://open.spotify.com/track/4MHJyGCQEvqUffUY6vq3a1";"YOTANKA RECORDS";
"Stereolab";"Fab four suture";"Eye of the volcano";2006;1708771106;1708771360;"https://www.deezer.com/track/1337606692";"https://open.spotify.com/track/2TJ6UUUuXniVfljbNivMT7";"TOO PURE";
"Pearl & The Oysters";"Coast 2 coast";"D'ya hear me!";2023;1708771359;1708771571;"https://www.deezer.com/track/2108355397";"https://open.spotify.com/track/27A3qyzMzZ8krb2NKTxiiF";"STONES THROW RECORDS";"https://music.apple.com/fr/album/dya-hear-me/1665327524?i=1665328070&uo=4"
"Molly Lewis";"On the lips";"Slinky";2024;1708771568;1708771742;;"https://open.spotify.com/track/7C6gEEEwdvez5wXriP7cTV";"JAGJAGUWAR";
"Biluka Y Los Canibales";"Leaf-playing in Quito, 1960-1965";"Pillaro viejo";1962;1708771739;1708771906;;;"HONEST JON'S RECORDS";
"Herbie Mann";"Sunny (a collection of various interpretation of)";"Sunny";1967;1708771904;1708772047;"https://www.deezer.com/track/766835";;"ROOF MUSIC";"https://music.apple.com/fr/album/sunny/78975245?i=78975239&uo=4"
"Veronique Sanson";"L'intégrale et voila ! / Vol.1 : Premières chansons 1967 - 1970";"Clapotis de soleil - (version inédite)";1971;1708772046;1708772210;;;"WARNER MUSIC FRANCE";
"Adi Oasis";"Lotus glow";"Sidonie";2023;1708772208;1708772404;"https://www.deezer.com/track/2071647257";"https://open.spotify.com/track/0CARDWgulJdJvDFlbpryvw";"UNITY GROUP";
"Lonnie Smith";"Afrodesia";"It's changed";1976;1708772403;1708772769;;;"GROOVE MECHANT";
"Mac Demarco";"2";"Cooking up something good";2012;1708772764;1708772928;;"https://open.spotify.com/track/2Dgfey8RouHR9ziGmThLli";"CAPTURED TRACKS";
"Khruangbin & Vieux Farka Toure";"Ali";"Lobbo";2022;1708772920;1708773199;;;"SECRETLY CANADIAN";
"A Tribe Called Quest";"Beats, rhymes and life";"Jam";1996;1708773192;1708773402;;;"JIVE";
"Bernard Estardy";"Stereo ultra - vol. 2";"Riviera express";1974;1708773392;1708773639;;;"SIROCCO";
"Cortex";"Troupeau bleu";"La rue";1975;1708773633;1708773921;;"https://open.spotify.com/track/6lzDycd60SJ7H8y6wuESGl";"UNDERDOG";"https://music.apple.com/fr/album/la-rue/1154110761?i=1154111004&uo=4"
"Morphine";"Good";"Claire";1993;1708773895;1708774080;;;"RYKO";
"Loving";"Any light";"On my way to you";2024;1708774079;1708774295;"https://www.deezer.com/track/2528195061";"https://open.spotify.com/track/2H3pltg2c88NxngyUThVkV";"LAST GANG RECORDS / MNRK";"https://music.apple.com/fr/album/on-my-way-to-you/1715079935?i=1715079940&uo=4"
"Laurent Martin";"Le diamant noir / Danses";"Soirs d'antan op 34";2016;1708774293;1708774529;;;"LIGIA DIGITAL";
"Zaho De Sagazan";"La symphonie des éclairs";"La symphonie des éclairs";2023;1708774517;1708774712;;"https://open.spotify.com/track/4QIH0XYnCLoCl1WZIV08Pn";"DISPARATE";"https://music.apple.com/fr/album/la-symphonie-des-%C3%A9clairs/1708455052?i=1708455646&uo=4"
"The Doors";"Best of the doors";"Riders on the storm";1971;1708774711;1708775138;;"https://open.spotify.com/track/14XWXWv5FoCbFzLksawpEe";"ELEKTRA";
"Kazam";"Cycles";"The hills";2022;1708775127;1708775265;"https://www.deezer.com/track/1617849212";"https://open.spotify.com/track/4MVJx90hEubEfxRwrbpMAe";"BALAGAN MUSIC / WAGRAM";
"Chanel Beads";"EF";"EF";2022;1708775264;1708775442;;"https://open.spotify.com/track/636mLRkAl5yW0HpaUUUoj8";"4444MIRROR";"https://music.apple.com/fr/album/ef/1623683115?i=1623683117&uo=4"
"Jah Shaka";"Imperial Dub - Commandments of Dub Chapter 8";"Guidance Dub";1988;1708775440;1708775685;;"https://open.spotify.com/track/3k3aB8DqSBJMbUhU9CEZ45";"JAH SHAKA MUSIC";
"Gorillaz";"Gorillaz";"Clint Eastwood";2001;1708775683;1708776022;;"https://open.spotify.com/track/7yMiX7n9SBvadzox8T5jzT";"PARLOPHONE";"https://music.apple.com/fr/album/clint-eastwood/850576570?i=850576665&uo=4"
"Hiatus Kaiyote";"Choose your weapon";"Only time all the time : Making friends with studio owl";2015;1708776022;1708776084;;;"SONY MUSIC";
"Cosmo Sheldrake";"Wake up calls";"Owl song";2020;1708776083;1708776289;;"https://open.spotify.com/track/35qotbLJH4mDnFzdRUTZlW";"AUTOPRODUCTION";
"Lhasa";"La llorona";"El pájaro";1997;1708776288;1708776525;;;"WEA";
"Georges Moustaki";"Le voyageur";"Les eaux de Mars";1973;1708776520;1708776737;"https://www.deezer.com/track/519304552";;"POLYGRAM";
"Stan Getz";"Sweet rain";"O Grande Amor";1967;1708776737;1708777018;;"https://open.spotify.com/track/7rGj87c8xuoOBUmqTyNV6o";"VERVE";
"Jenny Hval";"The practice of love";"Thumbsucker (feat. Félicia Atkinson)";2019;1708777016;1708777267;;;"SACRED BONES RECORDS";
"Phoenix";"Wolfgang Amadeus phoenix";"Armistice";2009;1708777264;1708777443;;"https://open.spotify.com/track/0x1pUJuOfNh7nStPF1V0AK";"V2";
"Mike Oldfield";"MUS.FILMS / Soundtrack maniac / Original B-Movie classic and cult / Vol.1";"Tubular bells - film l'exorciste";1973;1708777442;1708777635;;;;
"Thundercat";"Brainfeeder X";"King of the Hill (Feat BADBADNOTGOOD & Flying Lotus)";2018;1708777634;1708777806;;;"BRAINFEEDER";
"Doja Cat";"Scarlet";"Go off";2023;1708777804;1708778001;"https://www.deezer.com/track/2459517725";"https://open.spotify.com/track/032UZ3KVrzII6AE9Abnj7z";"KEMOSABE RECORDS / RCA RECORDS";
"Bonobo";"Fragments";"Elysian";2022;1708778002;1708778182;;"https://open.spotify.com/track/0PYMIPuZk9AjcmkscMeC3D";"NINJA TUNE";
"Cocorosie";"La maison de mon rêve";"Haitian love song";2004;1708778174;1708778469;;;"PIAS";
"Camille";"Le fil";"Ta douleur";2005;1708778467;1708778654;"https://www.deezer.com/track/355636791";"https://open.spotify.com/track/53CPBUZViJhspNT8nuAO9L";"VIRGIN";
"Miguel Atwood-Ferguson";"Les jardins mystiques / Vol.1";"Sweet invitation";2023;1708778655;1708778783;;"https://open.spotify.com/track/3KSKeiYUBsNxWJNBpBpiZi";"BRAINFEEDER";"https://music.apple.com/fr/album/sweet-invitation/1703266288?i=1703266476&uo=4"
"Fairouz";"Legend /The best of Fairuz";"Le Beirut";1984;1708778771;1708779022;;;"EMI";
"Beirut";"The rip tide";"The rip tide";2011;1708779021;1708779281;;"https://open.spotify.com/track/4MMlFCyd7NovH8fbOtX2g9";"POMPEII";
"Yazz Ahmed";"La saboteuse";"Organ eternal";2017;1708779280;1708779723;"https://www.deezer.com/track/356151051";"https://open.spotify.com/track/3Qr2kgtrDRdRGpr1HdQSRS";"NAIM RECORDS";
"Radiohead";"OK Computer";"Let down";1997;1708779719;1708780016;;"https://open.spotify.com/track/2fuYa3Lx06QQJAm0MjztKr";"PARLOPHONE";
"Rone";"Rone & friends";"L'orage (feat. Laura Etchegoyhen)";2021;1708780015;1708780257;;;"INFINE";
"Trent Reznor";"BOF / Teenage Mutant Ninja Turtles : Mutant Mayhem";"Teenage Mutant Ninja Turtles : Mutant Mayhem : What's the worst that could happen ?";2023;1708780196;1708780293;;;"THE NULL CORPORATION";
"Frank Ocean";"Blond";"Nikes";2016;1708780292;1708780605;"https://www.deezer.com/track/717273842";"https://open.spotify.com/track/19YKaevk2bce4odJkP5L22";"BOYS DON'T CRY";
"Young Marble Giants";"Colossal youth";"N.I.T.A";1980;1708780603;1708780811;;;"LES DISQUES DU CREPUSCULE";
"Herbie Hancock";"Mr. Hands";"Spiraling prism";1980;1708780811;1708781191;;"https://open.spotify.com/track/1FeJFOwVnDVgXA5VCORBtY";"COLB";
"Sababa 5 & Canay";"Bigâne / Namdar";"Namdar";2023;1708781188;1708781463;;;"BATOV RECORDS";
"Rachid Taha";"Voila, voila...";"Voilà, voilà...";1993;1708781462;1708781682;;;;
"Sirens Of Lesbos";"Peace";"Baybaybae";2023;1708781680;1708781791;;"https://open.spotify.com/track/6gOSfCZDUNAAQ8A1UtnKyB";"AUTOPRODUCTION";
"Anderson .Paak";"Ventura";"King James";2019;1708781789;1708781987;"https://www.deezer.com/track/662430602";"https://open.spotify.com/track/5ri4b7YQp2PWn8tl3MRYgE";"AFTERMATH - 12 TONE MUSIC";"https://music.apple.com/fr/album/king-james/1456218234?i=1456218313&uo=4"
"True Green";"My lost decade";"My lost decade";2024;1708781986;1708782201;;"https://open.spotify.com/track/5ZSE7oTpJbhvOKWmCu6zZM";"SPACECASE RECORDS";
"Patti Smith";"Horses";"Redondo beach";1975;1708782193;1708782400;;"https://open.spotify.com/track/6zCBk93V8M7fPriZj9i4dd";"ARISTA";
"The Invisible Session";"Echoes of Africa";"Journey to the east";2021;1708782393;1708782544;;"https://open.spotify.com/track/4DW6i9g3NQK9tZv16wcSC8";"SPACE ECHO";
"Mahmoud Ahmed";"Ethiopie/Ere mela mela/Ethiopiques vol.7";"Ebakesh taraqign";1975;1708782543;1708782920;;;"BUDA";
"Nas & Damian Marley";"Distant Relatives";"As we enter";2010;1708782817;1708782965;;;"UNIVERSAL";
"Dr. John";"Locked down";"Revolution";2012;1708782963;1708783168;;"https://open.spotify.com/track/4TGXJ20QXg31PuRIn66XG7";"NONESUCH";
"Felt";"Bubblegum perfume (compilation)";"Space blues";1990;1708783168;1708783311;;"https://open.spotify.com/track/4xKdISDu6KScDZNrRjGZyL";"CREATION";"https://music.apple.com/fr/album/space-blues/1485046688?i=1485046966&uo=4"
"Tour-Maubourg & Ismael Ndir";"Opening theme";"Opening theme";2024;1708783308;1708783582;;;"PONT NEUF RECORDS";
"Reinel Bakole";"Healing Exhaustion";"Roots & wires";2024;1708783578;1708783791;;"https://open.spotify.com/track/5gxLI3AgTvJ5fStzkZIifL";"1878596 RECORDS DK2";"https://music.apple.com/fr/album/roots-wires/1727782509?i=1727782583&uo=4"
"Julie London";"Around midnight";"Misty";1960;1708783788;1708783978;"https://www.deezer.com/track/638494202";"https://open.spotify.com/track/3a76UHdCD73zRQWz6y1eBs";"CAPITOL";
"Brigitte Balleys";"Berlioz / Les nuits d'ete op 7 / Herreweghe";"Les nuits d'été : Villanelle - pour mezzo soprano et orchestre";1995;1708783977;1708784109;;;"HARMONIA MUNDI";
"Sinead O Connor";"L'imaginaire irlandais";"Famine";1994;1708784107;1708784400;;;"KELTIA";
"Kiefer";"Happysad";"Thinkin of";2018;1708784398;1708784551;;"https://open.spotify.com/track/7q9bTSl3SJQAut3MUzXpyV";"STONES THROW";
"Killer Mike";"Michael";"Something for junkies";2023;1708784546;1708784824;;"https://open.spotify.com/track/7rxSBDMo5Lc1D0Bpn4unHW";"LOMA VISTA RECORDINGS";
"Pastor T.L. Barrett & The Youth For Christ Choir";"I shall wear a crown / CD 04 : Do not pass me by (Vol. 2)";"Here I am";1973;1708784824;1708785022;"https://www.deezer.com/track/426128732";;"NUMERO GROUP";
"The Lijadu Sisters";"Afro - beat soul sisters";"Amebo";1976;1708785021;1708785255;"https://www.deezer.com/track/2527810381";"https://open.spotify.com/track/7aSwYDAfCPmyZTPmb9D7Qk";"SOUL JAZZ RECORDS";"https://music.apple.com/fr/album/amebo/1313644471?i=1313644541&uo=4"
"Dawn Penn";"Studio One rockers - The original";"No, no, no";1967;1708785254;1708785521;"https://www.deezer.com/track/1674638657";;"SOUL JAZZ RE";
"Lawne";"Beta pan";"Beta Pan (Radio Edit) (Instrumental)";2023;1708785519;1708785733;;;"WAH WAH RECORDINGS";
"Isaac Delusion";"Lost and found";"Premonitions";2024;1708785732;1708785951;;"https://open.spotify.com/track/3ODFoFj7hEmiWxLtVONcU6";"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";
"Lake";"Giving and receiving";"Distant stars";2011;1708785950;1708786100;;"https://open.spotify.com/track/50KQYXU1TRqYb1pj4xqnqA";"K";
"Cesaria Evora";"Red hot + Rio";"E preciso perdoar";1996;1708786097;1708786457;;"https://open.spotify.com/track/4BUaH8RQ7Gn0w5UCrUP1Kd";"ANTILLES";
"Chagrin D'Amour";"Psychemagik presents ritual chants";"Ciao katmandou";1984;1708786454;1708786632;"https://www.deezer.com/track/565578192";"https://open.spotify.com/track/0ldTkUdnhjTWdVXHwQPLSW";"ESKIMO RECORDINGS";
"The Ironsides";"Changing light";"Ligurian dream";2023;1708786630;1708786787;"https://www.deezer.com/track/2117357997";;"COLEMINE RECORDS";"https://music.apple.com/fr/album/ligurian-dream/1666931221?i=1666932478&uo=4"
"Al Massrieen";"Modern music";"El bahr azra'";2017;1708786786;1708787142;;;"HABIBI FUNK RECORDS";
"Cho Co Pa Co Cho Co Quin Quin";"Tradition";"Quarantine mood";2023;1708787137;1708787263;;"https://open.spotify.com/track/0NZ2L0uKmzVAwgxWvwaPpw";"TIME CAPSULE";"https://music.apple.com/fr/album/quarantine-mood/1695698640?i=1695698651&uo=4"
"Harry Mac Clintock";"B.O.F. / O brother, where Art thou";"O' Brother : Big rock Candy mountain";2000;1708787260;1708787401;;;"MERCURY";
"Barry Louis Polisar";"BOF / Juno";"All I want is you";1977;1708787395;1708787629;"https://www.deezer.com/track/73169406";"https://open.spotify.com/track/1tuWxBWEd09LK07Shs48Iv";"RHINO";"https://music.apple.com/fr/album/all-i-want-is-you/65471456?i=65471364&uo=4"
"Tao Ravao";"Au bout du petit matin";"Inxuga o rato";2016;1708787547;1708787680;;"https://open.spotify.com/track/0UUA5LPfvk0tsnLOA5M62c";"BUDA MUSIQUE";
"Simon Jurad";"Antilles chéries";"Si bon di bon";1982;1708787678;1708788097;"https://www.deezer.com/track/124079226";;"FANON RECORDS";
"Max Romeo";"Easy star's lonely hearts dub band";"Fixing a hole";2009;1708788097;1708788393;;;"EASYSTAR";
"The Police";"Police / Best of";"Hole in my life";1978;1708788390;1708788678;"https://www.deezer.com/track/665714362";"https://open.spotify.com/track/25McPIqh9oSdPSP36Gu7Jp";"A M";"https://music.apple.com/fr/album/hole-in-my-life/1440804541?i=1440805068&uo=4"
"Woods";"Perennial";"The seed";2023;1708788676;1708788894;;"https://open.spotify.com/track/6Ja6zyLyZTOePzspLUtNGv";"WOODSIST RECORDS";"https://music.apple.com/fr/album/the-seed/1687512075?i=1687512316&uo=4"
"Elmiene";"Marking my time (Badbadnotgood edit)";"Marking my time (Badbadnotgood edit)";2023;1708788892;1708789257;"https://www.deezer.com/track/2526488201";;"POLYDOR RECORDS";
"Jimmy Ruffin";"Forever";"Let's say goodbye tomorrow";1970;1708789142;1708789332;;"https://open.spotify.com/track/7Eb8dM56xRSHtdAUdXrXpo";"TAMLA MOTOWN";"https://music.apple.com/fr/album/lets-say-goodbye-tomorrow/1443316711?i=1443316951&uo=4"
"Leonie";"FIP sacré français !";"En Alabama";1971;1708789330;1708789458;"https://www.deezer.com/track/141168251";;"WAGRAM MUSIC";
"Daniel Johnston";"Space ducks";"Mean girls give pleasure";2013;1708789457;1708789652;"https://www.deezer.com/track/65446539";;"FERRARI (HG)";
"Jonathan Fitoussi";"Musique ambiante française";"Le chant des dunes";2017;1708789649;1708789823;;"https://open.spotify.com/track/3GhK9w9FcpXjCWmvV8VUCc";"TIGERSUSHI";
"Tamtam";"Ramble In the rainbow";"Go down the mountain";2024;1708789819;1708790070;"https://www.deezer.com/track/2595437192";"https://open.spotify.com/track/3b2fxJcgMcKCA0YIAXgDhJ";"PPU";"https://music.apple.com/fr/album/go-down-the-mountain/1722550611?i=1722550629&uo=4"
"Air";"Moon safari";"Sexy boy";1997;1708790068;1708790364;;;"VIRGIN";
"Marcus King";"Young blood";"Blood on the tracks";2022;1708790362;1708790601;;"https://open.spotify.com/track/2b7kHSanB54WxcJvhfrTZT";"EASY EYE SOUND";"https://music.apple.com/fr/album/blood-on-the-tracks/1619032642?i=1619032653&uo=4"
"Amy Winehouse";"Back to black";"Me & Mr Jones";2006;1708790599;1708790750;;"https://open.spotify.com/track/0RfzQhbvtn5lOaKdhpAni7";"ISLAND";
"Roy Hargrove";"Hard groove";"The stroke";2003;1708790746;1708790999;;;"VERVE";"https://music.apple.com/fr/album/the-stroke/1443070852?i=1443071192&uo=4"
"Claude Nougaro";"Du jazz chez les yéyés / Integrale  vol. 2";"Le Cinéma";1962;1708790982;1708791160;"https://www.deezer.com/track/74245827";;"MERCURY";"https://music.apple.com/fr/album/le-cin%C3%A9ma/642909531?i=642917773&uo=4"
"Bobbie Gentry";"The windows of the world";"Hushabye mountain";1969;1708791158;1708791346;;;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";
"Luiz Bonfa";"Braziliana";"Samba de orfeu";1965;1708791334;1708791464;;;"CHESKY";
"Céu";"Um gosto de sol";"Chega mais";2021;1708791461;1708791667;;"https://open.spotify.com/track/7Ai45OfjtB5IRteTAqgTJ5";"WARNER";"https://music.apple.com/fr/album/chega-mais/1593478931?i=1593478942&uo=4"
"Eels";"Extreme witchcraft";"Stumbling bee";2022;1708791666;1708791880;"https://www.deezer.com/track/1488594362";"https://open.spotify.com/track/4vpBhyH7ev2EaOeBkSTAyH";"ROCK INDEPENDANT & ALTERNATIF";"https://music.apple.com/fr/album/stumbling-bee/1584990399?i=1584990750&uo=4"
"Chilly Gonzales";"French kiss";"French kiss";2023;1708791876;1708792091;"https://www.deezer.com/track/2291145665";"https://open.spotify.com/track/2jPhmr7R0AQCgX43FeaNQ2";"GENTLE THREAT LTD";"https://music.apple.com/fr/album/french-kiss/1688689750?i=1688689753&uo=4"
"The Waxidermist";"Tribe";"Chi";2022;1708792084;1708792266;;"https://open.spotify.com/track/1Bz2Bq4F7oEsnkhtzlHA6W";"SOUND SCULPTURE RECORDS";"https://music.apple.com/fr/album/chi-instrumental/1611171807?i=1611173802&uo=4"
"Noname";"Sundial";"Boomboom (feat. Ayoni)";2023;1708792265;1708792465;;"https://open.spotify.com/track/6efrjZM4NUpfmDRFNKvC01";"AWAL RECORDINGS AMERICA";
"Beyonce";"Lemonade";"Daddy lessons";2016;1708792462;1708792748;;"https://open.spotify.com/track/71OvX5NNLrmz7rpq1ANTQn";"COLUMBIA RECORDS";"https://music.apple.com/fr/album/daddy-lessons/1460473526?i=1460473537&uo=4"
"The Hot 8 Brass Band";"Tru thoughts covers";"Sexual healing";2009;1708792744;1708793043;"https://www.deezer.com/track/14784419";;"UNFOLD REC";
"Fela Kuti";"The Best Best of the Black President (CD 1)";"No agreement (part 2)";1977;1708793041;1708793513;;;"UNIVERSAL";
"Betty Davis";"Betty Davis (Deluxe)";"Game is my middle name";1973;1708793511;1708793831;"https://www.deezer.com/track/14013329";"https://open.spotify.com/track/37aFBlwHe5GQBwmuN3BNxf";"LIGHT IN THE ATTIC RECORDS & DISTRIBUTION";"https://music.apple.com/fr/album/game-is-my-middle-name/658976770?i=658976844&uo=4"
"Lynyrd Skynyrd";"Gimme back my bullets";"I got the same old blues";1976;1708793826;1708794074;;;"MCA RECORDS";
"Ben Harper";"There will be a light";"Take my hand";2004;1708794069;1708794303;;"https://open.spotify.com/track/0jNu4R05jhpDKhgqSER9AC";"VIRGIN";
"Marion Rampal";"Oizel";"Grande ourse";2024;1708794302;1708794594;"https://www.deezer.com/track/2585232262";"https://open.spotify.com/track/3vKRRP2FpanakqyQMy02gL";"LES RIVIERES SOUTERRAINES";
"Yom";"With Love";"Highway to constantinople";2011;1708794584;1708794776;;;"BUDA MUSIQUE";"https://music.apple.com/fr/album/highway-to-constantinople/418176860?i=418176910&uo=4"
"Black Cat";"Bof/Chat noir chat blanc";"Bubamara (main version)";1998;1708794771;1708795005;;;"CABIRIA";
"Les Negresses Vertes";"Le grand deballage (best of)";"Zobi la mouche";1991;1708795003;1708795206;"https://www.deezer.com/track/355635601";;"VIRGIN";
"The Pogues";"Hell's ditch";"The sunnyside of the street";1990;1708795205;1708795367;"https://www.deezer.com/track/4094381";"https://open.spotify.com/track/1gyCtXIRuolBdRe4bVVF1u";"WEA";"https://music.apple.com/fr/album/the-sunnyside-of-the-street/189232803?i=189232836&uo=4"
"The Ramones";"Brain Drain";"Pet sematary";1989;1708795361;1708795567;;;"CHRYSALIS";
"Surprise Chef";"Friendship";"Talent Stick";2023;1708795561;1708795799;"https://www.deezer.com/track/2165866807";"https://open.spotify.com/track/0vZ1sR0gTUJwx5ugsgSG4Z";"BIG CROWN";"https://music.apple.com/fr/album/talent-stick/1674255460?i=1674255728&uo=4"
"Jorja Smith";"Falling or flying";"She feels";2023;1708795795;1708795986;;"https://open.spotify.com/track/5krKShHoHc1bBZfZGI0hXh";"BECAUSE";"https://music.apple.com/fr/album/she-feels/1688161541?i=1688162064&uo=4"
"The Black Keys";"Beautiful people (stay high)";"Beautiful people (stay high)";2024;1708795985;1708796152;;"https://open.spotify.com/track/2lRBYUc9UNOMoeFaKxa6lh";"WEA";"https://music.apple.com/fr/album/beautiful-people-stay-high/1722539954?i=1722540381&uo=4"
"Veronique Sanson";"Hollywood";"Les délices d'hollywood";1977;1708796150;1708796405;;;"WEA";
"Young Holt Unlimited";"What it is ! Funky soul and rare grooves";"Wah wah man";1971;1708796387;1708796608;;;;"https://music.apple.com/fr/album/wah-wah-man/1147225724?i=1147225774&uo=4"
"Mai Le Huyen";"Saigon Super Sound Vol. 3";"Thu tinh cho em";;1708796601;1708796802;;"https://open.spotify.com/track/4m9f8bP6UIQtXW1ewMvzFu";"SAIGON SUPERSOUND";
"Joe Tex";"A soldier's sad story / Vietnam through the eyes of black America 1966-73";"I believe i'm gonna make it";2003;1708796790;1708796975;"https://www.deezer.com/track/2398965";;"KENT RECORDS";
"Khruangbin";"Con todo el mundo";"Cómo me quieres";2018;1708796969;1708797186;;"https://open.spotify.com/track/11AURg9Kbju7LOcwQnR17f";"NIGHT TIME STORIES";
"King Gizzard & The Lizard Wizard";"Changes";"No body";2022;1708797184;1708797404;"https://www.deezer.com/track/1976775267";"https://open.spotify.com/track/2bNqs5SLWjOtwcohKAdlgJ";"KGLW (KING GIZZARD & THE LIZARD WIZARD)";"https://music.apple.com/fr/album/no-body/1644967584?i=1644968080&uo=4"
"Petit Fantome";"Stave II";"Tu ne vois rien";2023;1708797403;1708797609;"https://www.deezer.com/track/2242844717";"https://open.spotify.com/track/5hWjf3EDOc1DrDKigiOZUm";"FANTOME FACTORY";"https://music.apple.com/fr/album/tu-ne-vois-rien/1682938293?i=1682938875&uo=4"
"Johnny Coles";"The warm sound";"Room 3";1961;1708797750;1708798092;;;"SONY/BMG";"https://music.apple.com/fr/album/room-3/462093624?i=462093625&uo=4"
"Johnny Pace";"Chet Baker introduces Johnny Pace";"Crazy she calls me";1958;1708798092;1708798342;;;"RIVERSIDE";
"Paolo Fresu";"Tempo Di Chet";"Chat with Chet";2018;1708798342;1708798617;"https://www.deezer.com/track/572624712";"https://open.spotify.com/track/24gbGLgfU1smUeW789iQcx";"TUK MUSIC";
"Bill Charlap Trio";"All through the night";"Put On A Happy Face";1997;1708798616;1708798884;;;"CRISS CROSS JAZZ";
"Inez Jones & Oscar Moore";"Have You Met Inez Jones ?";"Happy";1957;1708798881;1708799029;"https://www.deezer.com/track/115593980";;"STARDUST RECORDS";"https://music.apple.com/fr/album/happy/837272908?i=837272928&uo=4"
"Frederic Couderc";"Duke and Billy's new colors";"Johnny come lately (feat. Claude Égea)";2023;1708799029;1708799258;;;"JUSTE UNE TRACE";
"Oliver Nelson";"Sound pieces";"The Shadow Of Your Smile";1966;1708799253;1708799835;;"https://open.spotify.com/track/1WPd792I8T9lue1aKg6l4W";"IMPULSE";
"Johnny Mandel";"Bof /Jazz on film Beat square & cool CD 2 / I want to live ! ( Je veux vivre)";"I want to live ! ( je veux vivre) : Life's a funny thing";1958;1708799834;1708800145;;;"MOOCHIN ABOUT";
"Nat King Cole";"Sweet Georgia brown";"Solamente una vez (you belong to my heart)";1962;1708800144;1708800307;;;"( CAPITOL (ET PM )";
"Flash Pig";"The mood for love";"Quizás, quizás, quizás";2024;1708800307;1708800551;"https://www.deezer.com/track/2572293922";"https://open.spotify.com/track/1Ct404SfEPyORxJsu7TDBs";"ASTERIE";"https://music.apple.com/fr/album/quiz%C3%A1s-quiz%C3%A1s-quiz%C3%A1s/1719788109?i=1719788462&uo=4"
"Daniel Prim";"Se Va El Hombre";"Se Va El Hombre";2024;1708800551;1708800729;"https://www.deezer.com/track/2583994552";"https://open.spotify.com/track/0UTsVVgtqvMm7a1EP2st3I";"EARS & EYES";
"Arturo O'Farrill";"Risa Negra";"One Adam 12 Mambo";2009;1708800725;1708801116;;"https://open.spotify.com/track/7fnWJkEAZCvMWHyBqHIKiy";"ZOHO MUSIC";"https://music.apple.com/fr/album/one-adam-12-mambo/1142368146?i=1142368237&uo=4"
"Willie Bobo";"Willie Bobo's Finest Hour";"It's not unusual";1965;1708801108;1708801245;;"https://open.spotify.com/track/2dElNzSm6AR5so4wcmjavf";"VERVE";
"Alpacas Collective";"Big words";"Boyoma (feat. Zouratié Koné)";2023;1708801242;1708801530;;;"CATALPAS RECORDS";
"Nightmares On Wax";"Shout out ! To freedom";"Creator SOS (feat. Haile Supreme & Wolfgang Haffner)";2021;1708801528;1708801857;;;"WARP";"https://music.apple.com/fr/album/creator-sos-feat-haile-supreme-wolfgang-haffner/1577987770?i=1577987773&uo=4"
"Coccolite";"Extrasystole";"Le vent dans tes yeux";2024;1708801598;1708801826;"https://www.deezer.com/track/2459697765";"https://open.spotify.com/track/3aulxREfRjk3cP0LnAcAEh";"La pluie chante";"https://music.apple.com/fr/album/le-vent-dans-tes-yeux/1707942318?i=1707943003&uo=4"
"Bakar";"Halo";"Oneinoneout";2023;1708801749;1708801943;;"https://open.spotify.com/track/5xtcRXVfCm78QuLhCqddkP";"BLACK BUTTER";"https://music.apple.com/fr/album/oneinoneout/1693877094?i=1693877106&uo=4"
