"Artist";"Album";"Song";"Year";"start";"end";"spotify";"Label";"deezer";"itunes"
"Genevieve Artadi";"Living like I know I'm gonna die";"Living like I know I'm gonna die";2020;1711706207;1711706405;"https://open.spotify.com/track/7i3d7SzTV9nfAgxyO6eDQ9";;;
"Okvsho";"A place between us";"Con mi perros en la niebla";2024;1711706402;1711706607;;"CURRENT MOVES";;
"Pinkpantheress";"Heaven knows";"Another life (feat. Rema)";2023;1711706605;1711706775;"https://open.spotify.com/track/1ljtQrsf55VCwjqXjro7Po";"WARNER RECORDS";"https://www.deezer.com/track/2526890891";
"The Band";"Music from big pink";"Chest fever";1968;1711706771;1711707083;;"ESSENTIAL RECORDS";;
"Led Zeppelin";"Led Zeppelin II";"Whole lotta love";1969;1711707077;1711707408;;"ATLANTIC";;
"The Sure Fire Soul Ensemble";"Step down";"Time to rebuild";2022;1711707402;1711707583;"https://open.spotify.com/track/2S0MZEpm5CtFOFSwQOHUa7";"COLEMINE RECORDS";"https://www.deezer.com/track/1628670902";
"Ed Mount";"Maybe baby";"Maybe baby (feat. Flore Benguigui)";2023;1711707581;1711707757;;"FOR A WHILE";;
"Etienne Daho";"La notte, la notte";"Jack, tu n'est pas un ange";1984;1711707755;1711707989;;"VIRGIN";;
"Ata Kak";"Obaa sima";"Yemmpa aba";2015;1711707987;1711708256;"https://open.spotify.com/track/7juC4WcweYD5ynUrLMGhZ9";"AWESOME TAPES FROM AFRICA";;
"Tony Allen";"FIlm of life";"Awa";2014;1711708253;1711708500;;"HARMONIA MUNDI";;
"Pierre Henry";"Psyche rocksessions";"Psyche rock (Malpaso mix by Fatboy Slim)";1997;1711708491;1711708938;;"PHILIPS";;
"Baby Rose";"Through and through";"To me its real";2023;1711708935;1711709130;;"SECRETLY CANADIAN";;
"Beck";"Bof / Eternal sunshine of the spotless mind";"Everybody's gotta learn sometimes";2004;1711709127;1711709478;;"HOLLYWOOD RE";;
"Orchestre Du Festival De Lucerne";"Femmes";"6 Morceaux : 1. Romance - arrangement pour violoncelle et cordes";2023;1711709477;1711709664;;"SONY";;
"Clair";"La maison magique";"Saint-Gilles-Croix-de-Vie";2023;1711709657;1711709826;"https://open.spotify.com/track/5bjtM4gE4NgKmvuGVxEkKO";"MAISON MAGIQUE";"https://www.deezer.com/track/2153033877";
"Rai Thistlethwayte";"California groove / Vol.4";"San Francisco street";2013;1711709821;1711710085;;"WARNER MUSIC FRANCE";;
"Light Of The World";"British hustle";"London town";1980;1711710083;1711710292;;"SOUL JAZZ";"https://www.deezer.com/track/1787622827";
"Donald Byrd";"Look into the flower";"Wind Parade";1975;1711710286;1711710651;"https://open.spotify.com/track/4okz1TH0GeLw3J51pNRDGd";"BLUE NOTE";;
"Merryn Jeann";"Dog beach";"Me B4 U";2024;1711710648;1711710792;"https://open.spotify.com/track/1FvjybBuJFQHnmKRLM3yBK";"RESCUE / RETURN RECORDS";"https://www.deezer.com/track/2621444012";
"Astrowrong";"First reflections";"Luck";2024;1711710791;1711711028;"https://open.spotify.com/track/7JuPnrHSpfYIJuZvkerMCQ";"AUTOPRODUCTION";;
"Sebastien Tellier";"Sexuality";"Roche";2008;1711711026;1711711325;"https://open.spotify.com/track/43clCmiuxugZg3Jdn6R26c";"RECORD MAKER";"https://www.deezer.com/track/66221585";
"Lana Del Rey";"Video Games (Ep - Remix)";"Video Games";2011;1711711322;1711711603;;"STRANGERS RE";;"https://music.apple.com/fr/album/video-games/1444215085?i=1444215444&uo=4"
"Inon Zur";"BOF / Starfield";"Into the starfield (main theme)";2023;1711711596;1711711760;"https://open.spotify.com/track/325hdqkyHBRYu6ZOZt5Yrh";"BETHESDA SOFTWORKS";"https://www.deezer.com/track/2409198285";
"Tina Louise";"It's time for tina";"Hand across the table";1957;1711711757;1711711943;;"FRESH SOUNDS";;
"Rita Reys";"The Cool Voice Of Rita Reys";"There's a small hotel";1956;1711711942;1711712095;;"FRESH SOUND";"https://www.deezer.com/track/102772882";
"Theo Champion";"Look at me, look at you";"Look at me, look at you";2023;1711712094;1711712328;"https://open.spotify.com/track/4GezPdD8dH3Ss5vCs87ipz";"AUTOPRODUCTION";;
"JJ Cale";"Troubadour";"The woman that got away";1976;1711712325;1711712495;;"MERCURY";;
"Makoto Kubota & The Sunset Gang";"Hawaii Champroo";"Steel Guitar Rag";1975;1711712491;1711712697;;"WEWANTSOUNDS";;
"Elvis Presley";"32 succes de musique de film";"Ku-u-I-po (hawaiian sweetheart)";1961;1711712689;1711712828;;"BMG";;
"Iamddb";"Rasta pasta (feat. Masego)";"Rasta pasta (feat. Masego)";2024;1711712826;1711713073;;"WAEV ENTERTAINMENT";;
"Blundetto & Pupajim";"Tancarville";"Les plages du 22";2024;1711713071;1711713242;;"LES RYTHMES RUBAN";;
"Orsten";"Cutworks";"Long story short";2010;1711713240;1711713478;;"WAGRAM";"https://www.deezer.com/track/7858643";
"Finley Quaye";"Maverick a strike";"Even after all";1997;1711713433;1711713664;"https://open.spotify.com/track/096O9QxDBQ1xPIyLskGwbq";"EPIC";;
"Sons Of Zoku";"Endless";"O saber";2024;1711713663;1711713851;"https://open.spotify.com/track/7a10On8tAbQNtfqtmJdM0M";"AUTO PRODUTION";;
"King Gizzard & The Lizard Wizard";"K.G";"Honey";2020;1711713849;1711714123;"https://open.spotify.com/track/0nObOnIxnz6PlPf04tZh1g";"KGLW (KING GIZZARD & THE LIZARD WIZARD)";;
"Mamama";"Hier sera meilleur";"Tu seras mon ami";2024;1711714121;1711714361;"https://open.spotify.com/track/6BMkcpkJsNx5s4fdgZD3mw";"BYEBYE RECORDS";;
"Brad Mehldau";"The art of the trio / Vol.1";"Blackbird";1996;1711714357;1711714647;;"WB";;
"Billy Preston";"Come together : black America sings Lennon & Mac Cartney";"Blackbird";1972;1711714647;1711714811;"https://open.spotify.com/track/5Ncu5FV8vph6AoxIChiR0d";"ACE RECORDS";;
"Steven Soles";"Country funk III 1975-1982";"Shake the duct";1980;1711714810;1711714996;;"LIGHT IN THE ATTIC RECORDS";;
"A Tribe Called Quest";"The anthology";"Jazz (we've got)";1991;1711714987;1711715237;"https://open.spotify.com/track/7AgMX97ljLm9BzszyyXEYZ";"JIVE";;
"Ali Shaheed Muhammad";"Jazz is dead / Vol. 4";"Quiet storm";2020;1711715236;1711715496;;"JAZZ IS DEAD";;
"Roge";"Curyman";"Eu gosta dela";2023;1711715494;1711715711;;"DIAMOND WEST RECORDS";;
"Gabi Hartmann";"Gabi Hartmann";"Maladie d'amour";2023;1711715706;1711715911;"https://open.spotify.com/track/71D8Rcgr3TIA3Xq8NlkxVo";"MASTERWORKS / SONY MUSIC ENTERTAINMENT";;
"Orville Peck";"Bronco";"The curse of the blackened eye";2022;1711715907;1711716155;"https://open.spotify.com/track/5WhdOYLmpNgENGhtzyvEXc";"COLUMBIA";"https://www.deezer.com/track/1708412167";
"Ben Harper";"Welcome to the cruel world";"Whipping boy";1994;1711716153;1711716483;"https://open.spotify.com/track/6zbqjtosjS2HY616MsL1oX";"VIRGIN";;
"Ry Cooder";"B.O.F. / Paris Texas";"Brothers";1985;1711716469;1711716592;;"WARNER MUSIC";;"https://music.apple.com/fr/album/brothers/358238100?i=358238148&uo=4"
"Alabaster DePlume";"Come with fierce grace";"Sibomandi (feat. Falle Nioke)";2023;1711716591;1711716738;;"INTERNATIONAL ANTHEM";;
"Jorja Smith";"Addicted";"Addicted";2021;1711716737;1711716941;"https://open.spotify.com/track/778x5bolqJeICcrtSBNrko";"BECAUSE MUSIC";"https://www.deezer.com/track/1343064642";
"Thoma";"Pictures of infinity";"Fula";2023;1711716939;1711717162;"https://open.spotify.com/track/2ph4fbT7mxjsxYJr20Wi2a";"FOLDED MUSIC";;"https://music.apple.com/fr/album/fula/1671012285?i=1671013640&uo=4"
"Feist";"Multitudes";"Calling all the gods";2023;1711717159;1711717385;"https://open.spotify.com/track/4qupCnZLnkNWKrO0IGWCOR";"POLYDOR";;
"Prince Waly";"Bo y z vol. 2";"Belly (feat. Dinos)";2023;1711717382;1711717533;"https://open.spotify.com/track/35uC41Ry5HFEQtel6BKHbj";"BO Y Z";;
"Aziza Brahim";"Mawja";"Fuadi";2024;1711717534;1711717818;"https://open.spotify.com/track/70ufroRFdDppeEVF7QAKJL";"GLITTERBEAT RECORDS";;"https://music.apple.com/fr/album/fuadi/1717174112?i=1717176555&uo=4"
"Omer Avital";"Qantar : New York paradox";"It's all good (Late 90s)";2020;1711717815;1711718127;"https://open.spotify.com/track/30AxJPu2c2bJrcRz8gCJai";"JAZZ & PEOPLE";"https://www.deezer.com/track/884364162";
"Jowee Omicil";"Let's bash !";"Lets just bash !";2017;1711718126;1711718440;;"JAZZ VILLAGE";;
"Red Hot Chili Peppers";"One hot minute";"Aeroplane";1995;1711718437;1711718722;"https://open.spotify.com/track/0VLdJcQUsqHBBwqPp4CIKJ";"WB";;
"The Ramones";"Subterrean jungle";"Psycho therapy";1983;1711718717;1711718870;;"SIRE";;
"Red Fang";"Murder the Mountains";"Hank Is Dead";2011;1711718868;1711719022;"https://open.spotify.com/track/2GZbJjsph5LKA0reVwefxH";"RELAPSE RECORDS";;
"John Medeski";"Juice";"Sham time";2014;1711719021;1711719361;;"INDIRECTO RECORDS";;
"Jimmy Smith";"Good Juice - Hot Hammond & cool organs cockail served by Blue Note";"I got my mojo workin'";1965;1711719359;1711719656;;"BLUE NOTE";;
"Santana";"Santana : Abraxas";"Oye como va";1970;1711719652;1711719911;"https://open.spotify.com/track/5u6y4u5EgDv0peILf60H5t";"CBS";;
"Silmarils";"Vegas 76";"Va y avoir du sport";2000;1711719909;1711720090;"https://open.spotify.com/track/1oE5WEHiHjbS4VKOCF6O2F";"EASTWEST";;
"Doja Cat";"Scarlet";"Often";2023;1711720049;1711720246;"https://open.spotify.com/track/18dR6VljfkTb47HJOQ9chv";"KEMOSABE RECORDS / RCA RECORDS";;
"Jazzbois";"Higher dimension waiting room";"Up in the clouds";2023;1711720088;1711720444;"https://open.spotify.com/track/1smgw8XVSQyKxW6EsHTPhL";"BLUNT SHELTER";;"https://music.apple.com/fr/album/up-in-the-clouds/1686435175?i=1686435465&uo=4"
"Chai";"Chai";"Matcha";2023;1711720283;1711720645;"https://open.spotify.com/track/5sw4HTRNBHHTw074vXjRFf";"SUB POP";"https://www.deezer.com/track/2286166017";"https://music.apple.com/fr/album/matcha/1688527410?i=1688527412&uo=4"
"Gorillaz";"Demon days";"All alone";2005;1711720440;1711720650;"https://open.spotify.com/track/76Ug1q4l6rGwJ2ubV5wh3X";"EMI";;
"Half Alive";"Arrow";"Arrow";2019;1711720644;1711720861;;"HALF·ALIVE - RCA RECORDS";;
"Elli Ingram";"Bad behaviour";"Fool's gold (feat. Mahalia)";2023;1711720852;1711721210;;"PINC RECORDS";;
"Half Alive";"Arrow";"Arrow";2019;1711720852;1711721068;;"HALF·ALIVE - RCA RECORDS";;
"John Barry";"Bof / Goldfinger";"Bond back in action again";1964;1711721065;1711721357;;"DUCHESSE COM";;
"Gabriel Yacoub";"Gabriel Yacoub";"Gris";2001;1711721356;1711721686;;"CELLULOID";"https://www.deezer.com/track/582595902";
"Peter Paul And Mary";"In the wind";"Stewball";1963;1711721686;1711721875;;"WARNER BROS";;
"The Rolling Stones";"Sticky fingers";"Wild horses";1971;1711721873;1711722213;"https://open.spotify.com/track/4M4Q3JLsUbyTkd5WHty1WB";"POLYDOR";;
"Joe Pass";"Walking up";"It's all right with me";2017;1711722210;1711722386;;"PHONO";"https://www.deezer.com/track/64788441";
"Liam Bailey";"Zero grace";"Dance with me";2024;1711722384;1711722610;"https://open.spotify.com/track/1lGYIrfy4ulioJGYAjRD0h";"BIG CROWN RECORDS";"https://www.deezer.com/track/2525488961";
"Phyllis Dillon";"Dillon Phyllis/Love is all i had/A tribute to the queen of jamaican soul";"Perfidia";2004;1711722609;1711722773;;"TROJAN";;
"Jack Johnson";"In between dreams";"Staple it together";2005;1711722771;1711722964;"https://open.spotify.com/track/7tmzwBMr53py6u2zD877P3";"BRUSHFIRE";;"https://music.apple.com/fr/album/staple-it-together/1440857781?i=1440857899&uo=4"
"Kira Chao";"Semente de peixe";"Baiao do cerrado";2021;1711722959;1711723100;;"KIRA E A RIBANCEIRA / TRATORE";;
"Severin";"La chanson française, au calme (Une certaine approche de la variété)";"Margarita (featuring Cléa Vincent)";2016;1711723099;1711723278;;"IDOL";;
"Kurt Rosenwinkel";"Caipi";"Caipi";2017;1711723277;1711723510;"https://open.spotify.com/track/6iOIrOwzRXrjNqTU5O6j7C";"SUNNYSIDE";"https://www.deezer.com/track/1049137242";
"Katia Guerreiro";"Património";"Vodka e valium";2012;1711723507;1711723638;;"NABLIGAM PRO";;
"Choeur De L Opera De Vienne";"Choeurs d'opéra célébres";"La traviata - noi siamo zingarelle (acte II) choeur des bohemiennes";1975;1711723636;1711723751;;"EPIC";;
"Gregory Alan Isakov";"Evening machines";"Wings in all black";2018;1711723748;1711723968;"https://open.spotify.com/track/2sn6Gd1vgaw2sYFVdXhLcu";"SUITCASE TOWN MUSIC";;
"Jack Kerouac";"On the road";"On the road (Song)";1960;1711723965;1711724105;;"RYCODISC";;
"Sam Ku West";"Compilation : Hawaiian steel guitar 1920's to 1950's";"Hawaiian hula (huehue)";1976;1711724098;1711724283;;"FOLKLYRIC @";;
"By The Fall";"Ashes";"Barcelona";2015;1711724285;1711724480;"https://open.spotify.com/track/0K9DUo3WCj8Wq0zxSoIhjZ";"BY THE FALL";;
"Gaetan Nonchalant";"Changement de programme";"Plages du nord";2023;1711724477;1711724667;"https://open.spotify.com/track/1s39UIEJhtAYnpVgPkOYCt";"OBJET DISQUE";"https://www.deezer.com/track/2280918477";
"Wet Leg";"Wet dream";"Wet dream";2021;1711724667;1711724806;"https://open.spotify.com/track/6pjJUY0O4XgrYFGf9SwD7u";"DOMINO RECORDINGS";"https://www.deezer.com/track/1549197792";
"Kelis";"Kaléidoscope";"Good stuff";1999;1711724806;1711725038;"https://open.spotify.com/track/0mWi3EKhPDl42DL5LaHX38";"VIRGIN";;
"Joel Culpepper";"Woman - A colors show";"Woman - A colors show";2017;1711725038;1711725168;"https://open.spotify.com/track/01gH3etKto2oMijdzkJj9L";"COLORSXSTUDIOS";"https://www.deezer.com/track/1362743662";"https://music.apple.com/fr/album/woman-a-colors-show/1564611972?i=1564611974&uo=4"
"Nina Simone";"Tell it like it is";"Jelly Roll";1971;1711725167;1711725658;"https://open.spotify.com/track/78HhWs8U3RIBQ9vsx07oPL";"SONY/BMG";;
"Jon Batiste";"Hollywood africans";"Nocturne no. 1 in d minor";2018;1711725657;1711725862;"https://open.spotify.com/track/4OhTF2HxbbxFzGMAQYaFPx";"VERVE";"https://www.deezer.com/track/558511132";
"Orquesta Akokan";"Orquesta Akokan";"Mambo rapidito";2018;1711725859;1711726056;"https://open.spotify.com/track/0d3dJd589d4FxW5UkqSQC2";"DAPTONE RECORDS";;
"James Brown";"I feel good! - The best of";"Get up (I feel like being a) Sex machine";1971;1711726055;1711726225;;"POLYDOR";;
"Eddy Mitchell";"Je n'aime que toi 1967-1968";"Sunny";1968;1711726225;1711726404;;"BARCLAY";;
"Oan Kim (Compositeur, Saxophone, Piano, Claviers)";"Rebirth of Innocence";"Open window";2024;1711726401;1711726563;"https://open.spotify.com/track/3y4ipVLH8bcfLLmBw6nudh";"ARTWORK RECORDS / PIAS";;"https://music.apple.com/fr/album/open-window/1726998653?i=1727000747&uo=4"
"Me And My Friends";"Before I saw the sea";"Before I saw the sea";2022;1711726562;1711726893;"https://open.spotify.com/track/5cnmZuC1qOc92dcdisJFXe";"SPLIT SHIFT RECORDS";;
"Sade";"Stronger than pride";"Turn my back on you";1988;1711726889;1711727251;"https://open.spotify.com/track/7aiN4fPcpFmZeF88SiVdpS";"EPIC";;
"Young Gun Silver Fox";"West and coast";"You can feel it";2015;1711727241;1711727438;"https://open.spotify.com/track/3xhJI6XCeOKCfmpA4vvxoR";"LEGERE RECORDINGS";;
"Common Saints";"Idol eyes";"Secret song";2020;1711727434;1711727559;"https://open.spotify.com/track/3usIpncQ0ZQ6ZNgpBAWyAV";"STARSONICS";;
"Kcidy";"Les gens heureux";"Je vis mes reves en vrai";2021;1711727557;1711727824;"https://open.spotify.com/track/5J5yHherdbAlA4aaUQiuIx";"VIETNAM /BECAUSE MUSIC";;
"Queen & David Bowie";"Hot space";"Under pressure";1981;1711727822;1711728063;;"UNIVERSAL MUSIC (LABEL & DISTRIBUTEUR)";;
"Olympic Runners";"Out in front";"Dump the bump";1975;1711728053;1711728249;;"LONDON RECORDS";;
"Ohio Players";"Honey";"Fopp";1975;1711728244;1711728473;;"MERCURY";"https://www.deezer.com/track/549335282";"https://music.apple.com/fr/album/fopp-single-version/1434909253?i=1434909259&uo=4"
"Prince Fatty & Shniece Mcmenamin";"Take me as I am (feat. Horseman)";"Take me as I am (feat. Horseman)";2020;1711728466;1711728677;;"EVERGREEN RECORDINGS";;
"Pierre III";"Discothèque";"Réalité";2023;1711728677;1711728852;"https://open.spotify.com/track/0uIDAq9A6JdRVOCEAWZC7h";"VACARME";;"https://music.apple.com/fr/album/r%C3%A9alit%C3%A9/1705424197?i=1705424205&uo=4"
"Gizmo Varillas";"A la vida";"A La Vida (feat.Sergio Mendoza)";2021;1711728850;1711729033;;"BIG LAKE MUSIC";;
"Guadalupe Plata";"Guadalupe plata 2017";"Preso";2017;1711729030;1711729242;"https://open.spotify.com/track/0p8BuOpGvxV7dYBarX2V7q";"EVERLASTING RECORDS";"https://www.deezer.com/track/346850311";"https://music.apple.com/fr/album/preso/1223644720?i=1223645484&uo=4"
"Bo Diddley";"Hey! bo diddley";"Bo Diddley";1955;1711729241;1711729387;;"VOGUE";"https://www.deezer.com/track/106634542";
"Pink Floyd";"The Piper at the gates of Dawn";"Matilda mother";1967;1711729384;1711729567;"https://open.spotify.com/track/6SlI8JYwFaESqre47wrQZz";"EMI";;"https://music.apple.com/fr/album/matilda-mother/699637401?i=699637850&uo=4"
"Faye Webster";"Underdressed at the symphony";"Wanna quit all the time";2024;1711729564;1711729836;"https://open.spotify.com/track/3w3seawXfQGat9yH2B8Tge";"SECRETLY CANADIAN";;
"Julian Lage";"Speak to me";"Omission";2024;1711729754;1711729957;"https://open.spotify.com/track/4BNDJ8JLYVc5nkoaIeogna";"BLUE NOTE";;
"Bobbie Gentry";"The best of the capitol years";"Rainmaker";1970;1711729954;1711730112;"https://open.spotify.com/track/0YfiCTZT1oT5DyKvlJ0pCR";"CAPITOL";;"https://music.apple.com/fr/album/rainmaker/714610225?i=714610397&uo=4"
"P'tit Belliveau";"Greatest hits vol.1";"Rain and snow";2020;1711730109;1711730304;"https://open.spotify.com/track/66CgByojSTxblb3HpE1jSN";"BONSOUND";"https://www.deezer.com/track/851071672";
"Arrested Development";"3 years, 5 months & 2 days in the life of";"Raining revolution";1992;1711730282;1711730516;"https://open.spotify.com/track/1fC7Ff8HOYuR2GMSgHZVwO";"COOLTEMP";;"https://music.apple.com/fr/album/raining-revolution/715906160?i=715906469&uo=4"
"Donald O Connor";"That's entertainment : the ultimate anthology of MGM musicals";"Chantons sous la pluie (film) : Make 'em laugh";1952;1711730513;1711730710;;"RHINO RECORDS";;
"Orchestre Philharmonique De Los Angeles";"Oeuvres de Gershwin et Copland";"Appalachian spring : Allegro - version pour grand orchestre";1975;1711730709;1711730878;;"DECCA";;
"Francoise Hardy";"Quelques titres que je connais d'elle / Vol. 2";"Assiette niet";1970;1711730878;1711731027;;"WARNER MUSIC";;
"Julia Holter";"Have you in my wilderness";"Silhouette";2015;1711731028;1711731260;"https://open.spotify.com/track/4riNlzZh1Xd4xqbIWy7zfM";"DOMINO RECORDING CO LTD";;"https://music.apple.com/fr/album/silhouette/1046817772?i=1046817783&uo=4"
"Lawne";"Heather’s leather";"Heather's leather";2024;1711731258;1711731672;"https://open.spotify.com/track/5SWaS1lWGn4X112ATMwhuW";"WAH WAH 45S";"https://www.deezer.com/track/2664902832";"https://music.apple.com/fr/album/heathers-leather-radio-edit/1731237322?i=1731237324&uo=4"
"Eko Afrobeat";"Èkó Afrobeat";"Não tem como";2017;1711731670;1711731897;"https://open.spotify.com/track/0Sx30RWAGwLo49gl32oTtI";"EKO AFROBEAT";;"https://music.apple.com/fr/album/n%C3%A3o-tem-como/1211010949?i=1211010967&uo=4"
"Gorillaz";"G-sides";"Rock the house (radio edit)";2001;1711731897;1711732077;;"EMI";;"https://music.apple.com/fr/album/rock-the-house-radio-edit/884147414?i=884147518&uo=4"
"Willie Bobo";"Juicy";"Music to watch girls by (alterative take)";1967;1711732076;1711732222;;"VERVE";;
"Henri Salvador";"Homme studio";"L'amour va ça va";1977;1711732221;1711732375;;"BORN BAD RECORDS";;
"Cocorosie";"La maison de mon rêve";"Good friday";2004;1711732374;1711732634;"https://open.spotify.com/track/2m2tVMv5MH75183mITz2pq";"PIAS";;
"Isaac Delusion";"Lost and found";"50 50";2024;1711732631;1711732829;"https://open.spotify.com/track/4Pca3D30BC6r7a8GwrZdb9";"DELUSION RECORDS / ALLO FLORIDE UNDER EXCLUSIVE LICENSE TO 3EME BUREAU / WAGRAM MUSIC";"https://www.deezer.com/track/2537598511";"https://music.apple.com/fr/album/50-50/1716058914?i=1716059432&uo=4"
"Sven Wunder";"En plein air";"En plein air";2021;1711732828;1711732989;"https://open.spotify.com/track/3LvQhEB7pTmGgm2xEtu2k2";"PIANO PIANO RECORDS";;"https://music.apple.com/fr/album/en-plein-air/1671850742?i=1671850990&uo=4"
"Elton John";"Honky chateau";"I think i'm going to kill myself";1972;1711732986;1711733197;"https://open.spotify.com/track/4q7tMaar2kUMweKu6N5bZz";"DJM";"https://www.deezer.com/track/1144861";"https://music.apple.com/fr/album/i-think-im-going-to-kill-myself/1440910513?i=1440910681&uo=4"
"Lewis Evans";"L'ascension";"César";2022;1711733194;1711733423;"https://open.spotify.com/track/5mck16YqgteE9xs1VDpA5x";"ZRP";;"https://music.apple.com/fr/album/cesar/1621751798?i=1621751814&uo=4"
"Wim Van Hasselt";"Tintomara / Wim Van Hasselt et Jörgen Van Rijen";"Sound the trumpet - arrangement pour trompette trombone et basse continue";2015;1711733418;1711733557;;"CHANNEL CLASSICS";;
"D Angelo";"Black messiah";"Really love";2014;1711733556;1711733893;;"RCA RECORDS";;
"Sly & The Family Stone";"The godfathers of acid jazz";"Thankful'n toughtful";1973;1711733886;1711734165;;"BMG";;
"Kazam";"Litchi";"Litchi";2021;1711734162;1711734314;"https://open.spotify.com/track/7slyKMCEFXCEiPqMYmAO0X";"DAYDREAM MUSIC";;"https://music.apple.com/fr/album/litchi/1565124729?i=1565124731&uo=4"
"Erika De Casier";"Still";"Lucky";2024;1711734309;1711734509;"https://open.spotify.com/track/0MuGa3SwwVYIeOpOzTOxzj";"4AD";"https://www.deezer.com/track/2499789801";"https://music.apple.com/fr/album/lucky/1712085894?i=1712085902&uo=4"
"Beth Gibbons";"Floating on a moment (radio edit)";"Floating on a moment (radio edit)";2024;1711734507;1711734769;;"DOMINO RECORDS";;
"Beak";"Beak> <Kaeb";"The broken window";2015;1711734761;1711735017;;"INVADA";;
"New Order";"Substance 1987";"Ceremony";1981;1711734947;1711735209;;"FACTORY COMM";;"https://music.apple.com/fr/album/ceremony/439593473?i=439593490&uo=4"
"Miles Davis Quintet";"The first perfect years :51-56";"It never entered my mind";1954;1711735352;1711735676;;"WARNER JAZZ & WORLD";;
"MC Solaar";"Stolen moments:Red hot + cool";"Un ange en danger";1994;1711735675;1711735903;;"GRP (V. ARISTA GRP)";;
"John Coltrane";"Le genie de John Coltrane";"In A Sentimental Mood";1962;1711735902;1711736155;;"UNIVERSAL";"https://www.deezer.com/track/63313425";
"Bill Evans";"Waltz for Debby";"My foolish heart";1961;1711736153;1711736446;;"RIVERSIDE";"https://www.deezer.com/track/3056822";"https://music.apple.com/fr/album/my-foolish-heart/581174278?i=581174806&uo=4"
"Gene Kelly";"Bof / Singing in the rain";"Singin' In the rain";1952;1711736442;1711736616;"https://open.spotify.com/track/5U3MkUWTpzj37A33GboDtv";"CBS";"https://www.deezer.com/track/3991703";"https://music.apple.com/fr/album/singin-in-the-rain/264704937?i=264704985&uo=4"
"Henry Mancini & His Concert Orchestra";"Symphonic soul";"Butterfly";1975;1711736615;1711736906;"https://open.spotify.com/track/7oFjofTmJplKtQP9pDOpYA";"RCA RECORDS LABEL";"https://www.deezer.com/track/6087529";
"James Brown";"Soul on top";"It's a man's, man's, man's world";1969;1711736903;1711737299;;"VERVE";"https://www.deezer.com/track/598055812";
"Lalo Schifrin";"Diggin' deeper 3";"Jaws";1976;1711737297;1711737656;"https://open.spotify.com/track/0422JjTDbL43vslze9YTit";"COLUMBIA";"https://www.deezer.com/track/859729";
"Lack Of Afro";"Square One";"Browsing youtube";2023;1711737653;1711737811;"https://open.spotify.com/track/7lpiKDumhwBbf5ftSU7TPF";"BASTION MUSIC GROUP";"https://www.deezer.com/track/2290799725";"https://music.apple.com/fr/album/browsing-youtube/1688614657?i=1688615444&uo=4"
"Lionel Loueke";"HH";"Cantaloupe Island";2020;1711737811;1711738051;"https://open.spotify.com/track/64FkDP02d1CEZGiqtxkmZF";"EDITION";"https://www.deezer.com/track/1023518922";"https://music.apple.com/fr/album/cantaloupe-island/1523913208?i=1523913828&uo=4"
"Rene Lacaille";"Lacaille René/Cordeon kameleon";"Ti cordéon";2008;1711738048;1711738254;"https://open.spotify.com/track/13cWj41TA6BPsVFjtRRDlb";"POINT MUSIC";"https://www.deezer.com/track/477032172";
"Vincent Peirani";"Belle époque";"Egyptian Fantasy";2014;1711738254;1711738537;"https://open.spotify.com/track/4lw4AT0CJnNcF0EbEtq05E";"ACT MUSIC & VISION";"https://www.deezer.com/track/76004958";
"Louis Cole";"Live sesh and xtra songs";"Doing the things";2019;1711738536;1711738652;"https://open.spotify.com/track/1yBVQU0Az5LlDF5ZYehPap";"BRAINFEEDER";"https://www.deezer.com/track/648646522";"https://music.apple.com/fr/album/doing-the-things/1454822750?i=1454822754&uo=4"
"Ahmad Jamal";"Poinciana";"Poinciana";1966;1711738651;1711738825;;"CADET";"https://www.deezer.com/track/5726092";
"Charlie Hunter Quintet";"Songs from the analog playground";"Creole (feat. Mos Def)";2001;1711738823;1711739162;;"BLUE NOTE";;
"B.T. Express";"Do It ('Til You're Satisfied)";"Express";1974;1711739199;1711739502;"https://open.spotify.com/track/7aUA2QLuPtuaBgnxLSAbnZ";"ROADSHOW RECORDS";"https://www.deezer.com/track/131074692";"https://music.apple.com/fr/album/express/1148946933?i=1148947347&uo=4"
"Tina Turner";"All the best tina";"Proud mary";1993;1711739247;1711739572;"https://open.spotify.com/track/6gJdDnF2TzfA1WPMXuCa3x";"PARLOPHONE";;"https://music.apple.com/fr/album/proud-mary-1993-version/732072155?i=732073468&uo=4"
"Jerry Lee Lewis";"Last man standing";"Sweet little sixteen";2006;1711739570;1711739754;;"NAIVE";;
"The Hollies";"Rock 'n' roll sing";"I'm talkin' about you";1964;1711739746;1711739871;;"MAGIC SQUARE MUSIC";;
"Bratmobile";"Pottymouth";"No you don't";1992;1711739870;1711739973;;"KILL ROCK STARS";;
"Les Olivensteins";"Paink french punk anthems (1977 - 1982)";"Euthanasie";1979;1711739969;1711740116;;"BORN BAD";;
"Codek";"Des jeunes gens mödernes / Vol. 3 [Post Punk, Cold Wave, et culture Novo en France (1978 - 1983)]";"Demo";1980;1711740115;1711740325;;"KWAIDAN";"https://www.deezer.com/track/1122011762";
"Tom Tom Club";"Close To The Bone (Deluxe Edition)";"Wordy rappinghood";1981;1711740324;1711740711;"https://open.spotify.com/track/03xLfJFy99mdr7qhmQNVgB";"ISLAND";;"https://music.apple.com/fr/album/wordy-rappinghood/1711038105?i=1711038348&uo=4"
