"Artist";"Album";"Song";"Year";"start";"end";"itunes";"Label";"deezer";"spotify"
"The Spinners";"Wonder of Stevie / Melody Man";"It's a shame";1970;1712105129;1712105317;;"HLES";;"https://open.spotify.com/track/1l1YTy9nJ0trwhsCGcimly"
"The Black Gold Orchestra";"Genesis";"The creation";2023;1712105316;1712105719;;"SESSIONS LANE RECORDS";;"https://open.spotify.com/track/3lxmIC2DYMnYbd9FDncG1l"
"Nat King Cole";"Sings for two in love &  Sings ballads of the day";"Autumn Leaves";1957;1712105718;1712105875;;"CAPITOL";;
"April March";"Paris In April";"La Chanson De Prevert";1995;1712105874;1712106038;;;;"https://open.spotify.com/track/30Kj12Trf9q1Z6Ev59Qvxz"
"This Is The Kit";"Careful of your keepers";"Stuck in a room";2023;1712106054;1712106180;;"ROUGH TRADE";"https://www.deezer.com/track/2289883575";"https://open.spotify.com/track/1RwmJ7D6bYxUTcUPlOUl6t"
"Daniel Pemberton";"BOF / Ocean's eight (Ocean' s 8)";"Ocean's eight : The spy";2018;1712106179;1712106405;;"WATERTOWER MUSIC";;
"Iggy Pop";"Free";"James Bond (Radio edit)";2019;1712106401;1712106610;;"CAROLINE";;
"Pizzicato Five";"Made in USA";"Twiggy twiggy / twiggy vs. James bond";1994;1712106610;1712106849;;"MATADOR RECORDS";;
"Catherine Elia";"Goldfinger";"Goldfinger";1965;1712106850;1712107000;;"RIVIERA";;
"Flevans";"Part time millionaire";"Right on top";2019;1712106995;1712107090;;"JALAPENO RECORDS";;"https://open.spotify.com/track/6rFvtAh4osqbk25YH8ihE1"
"Myra Barnes";"James brown's funky people (part 2)";"The message  from the soul sist";1970;1712107089;1712107342;;"POLYGRAM";;
"Bootsy Collins";"Play with bootsy";"Soul sista";2002;1712107337;1712107625;;"EAST WEST";;
"Dawn Again";"Every dog’s hotel";"Every dogs hotel";2024;1712107632;1712107930;;"HELL YEAH RECORDINGS";;
"Massive Attack";"Solo: Songs and collaborations 1982-2015";"Better things";1994;1712107930;1712108184;"https://music.apple.com/fr/album/better-things/724410562?i=724410753&uo=4";"CAROLINE INTERNATIONAL";"https://www.deezer.com/track/3129790";"https://open.spotify.com/track/4orPBWfQNUxs3RObirJwZR"
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"Tall man little horse";2024;1712108181;1712108351;;"ARTWORK RECORDS / PIAS";;
"Bill Frisell";"Guitar in the space age";"Cannonball rag";2014;1712108349;1712108522;;"OKEH RECORDS";;"https://open.spotify.com/track/3JrPyhMXgXbmyxBBlKLxPc"
"YO-YO MA BOBBY MC FERRY";;"Sonate n°9 en Sol Maj : Allegro prestissimo OK";2009;1712108523;1712108678;;;;
"Les Chercheurs D'Or";"Les chercheurs d'or (CD promo)";"Allume donc la radio";2013;1712108676;1712108819;;"NOMADE";;"https://open.spotify.com/track/11dPgMNbrb7iZK6O2uYvJM"
"Joe Mcdermott";"Putumayo kids presents: Hawaiian playground";"Come to Hawaii";2008;1712108818;1712108979;;"PUTUMAYO";"https://www.deezer.com/track/9302245";
"Mato";"Homework";"Rollin & scratchin dub";2014;1712108977;1712109171;;"FAVORITE RECORDINGS";;
"Timber Timbre";"Sincerely, future pollution";"Grifting";2017;1712109171;1712109426;;"CITY SLANG";;"https://open.spotify.com/track/2Pm3LHgIJeIdhXrMMDveRz"
"Steven Bamidele";"No One Said";"No One Said (edbl remix)";2023;1712109422;1712109596;;"TRU THOUGHTS";;
"Anoushka Shankar";"Traces of you";"Flight";2013;1712109642;1712109851;;"DEUTSCHE GRAMMOPHON";;"https://open.spotify.com/track/33ukHt0zYw1HJCsQtut2Dm"
"Sons Of Zoku";"Endless";"Kuhnoo";2024;1712109847;1712110079;"https://music.apple.com/fr/album/kuhnoo/1727907650?i=1727907654&uo=4";"AUTO PRODUTION";"https://www.deezer.com/track/2636010762";"https://open.spotify.com/track/6swYsMhP2DQ630ELM2vfTQ"
"Wax Machine";"Guardians of Eden";"Guardians of Eden";2022;1712110074;1712110335;;"BATOV";;"https://open.spotify.com/track/6uEWjWvBulgMuo3lSkZ2RM"
"Stereolab";"Emperor tomato ketchup";"Spark plug";1996;1712110329;1712110475;;"ELEKTRA";;"https://open.spotify.com/track/51T5xRF2lybiC1rxG5H41f"
"Smashing Pumpkins";"Mellon collie and the infinite sadness";"1979";1995;1712110477;1712110739;;"VIRGIN";;
"The Offline";"Cap de l'Homy";"Cap de l'Homy";2023;1712110734;1712110938;;"ROOT RECORDS";"https://www.deezer.com/track/2135786517";"https://open.spotify.com/track/7k2Ak8lgMI78whslvDzelR"
"L'Imperatrice";"Tako tsubo";"Hématome";2021;1712110938;1712111150;;"MICROQLIMA";;"https://open.spotify.com/track/1F2JdXzAJRfCYNhIelTuVU"
"Minako Yoshida";"Monochrome";"Tornado";1980;1712111149;1712111492;;"GT MUSIC";;"https://open.spotify.com/track/0Xr6bcpKed4l8qkT2W3uaA"
"Miki Hirayama";"Tokyo riddim 1976-1985";"Denshi lenzi";1982;1712111492;1712111723;;"TIME CAPSULE";"https://www.deezer.com/track/2329213745";
"Okvsho";"A place between us";"Between us";2024;1712111719;1712111893;;"CURRENT MOVES";;"https://open.spotify.com/track/4JBGyhuBeXcUsJUmMvnIqy"
"Aelpeacha";"Playball";"Un pti break";2022;1712111892;1712112172;;"BONNE MAMA";;"https://open.spotify.com/track/4JzReK0qvCpMirmeR4Tt5A"
"Blossom Dearie";"Blossom Dearie Sings";"Home";1974;1712112177;1712112425;;"DAFFODIL RECORDS";;
"Clairo";"Sling";"Bambi";2021;1712112398;1712112672;;"REPUBLIC RECORDS";;"https://open.spotify.com/track/6wQXjA6KWbwPT3ydQCsJ4P"
"Aldo Ciccolini";"Erik Satie : Gnossiennes Pièces froides et autres oeuvres / Ciccolini / cd 46";"6 Gnossiennes pour piano : N°2";2009;1712112668;1712112845;;"EMI CLASSIC";;
"Barry White";"The collection";"Can't get enough of your love babe";1974;1712112845;1712113086;;"MERCURY";;
"Young Gun Silver Fox";"Am waves";"Mojo rising";2018;1712113085;1712113291;;"LEGERE RECORDINGS";;"https://open.spotify.com/track/2YABbnHDtnkDKTHa2SZ5cc"
"Pinnacle Sound";"Soul medecine";"I can do the same (feat. Jolly Joseph)";2022;1712113316;1712113518;;"BAT RECORDS";;
"De Flore";"Encore un peu";"Encore un peu";2024;1712113515;1712113707;;"BONBONBON";;"https://open.spotify.com/track/1BpWEep4MYzCsQZqCBBkJ6"
"La Bibliotheque De La Bergerie";"La Bibliothèque de la Bergerie";"Le fleuve de la nuit";2023;1712113706;1712113938;;"FREAKSVILLE RECORDS";;"https://open.spotify.com/track/46XA8BnaVeVLuoGFhIH1x3"
"Joao Gilberto";"Amoroso/Brasil";"Wave";1977;1712113937;1712114208;;"WB";;"https://open.spotify.com/track/3JbZ8W2aFTIEP6EidBlN38"
"Filhos Do Sol";"No som dos tambores";"Meu bem quero te amar";1993;1712114210;1712114467;;"CID (COMPANHIA INDUSTRIAL DE DISCOS)";;
"Velly Joonas";"Stoop, seisku aeg ! / Käes on aeg";"Käes on aeg";1980;1712114465;1712114638;;"FROTEE";;
"Albert King";"Jammed together";"Opus de soul";1969;1712114638;1712114802;;"STAX RECORDS";;"https://open.spotify.com/track/5l3PuREPl98onUB9j2hXVV"
"Robert Finley";"Sharecropper's son";"Country Boy";2021;1712114801;1712115145;;"EASY EYES SOUND";;"https://open.spotify.com/track/0uwYQTPWVQjXUKaNgH6oMZ"
"Beck";"Mellow gold";"Loser";1994;1712115147;1712115381;;"GEFFEN";"https://www.deezer.com/track/422033092";"https://open.spotify.com/track/5PntSbMHC1ud6Vvl8x56qd"
"Avalon Emerson";"& the charm";"Astrology poisoning";2023;1712115376;1712115593;;"ANOTHER DOVE / ONE HOUSE";"https://www.deezer.com/track/2104574027";"https://open.spotify.com/track/2vYd15dPYelxBESvyviVbf"
"Marina Trench";"Free mind";"Overcome";2021;1712115592;1712115703;;"AUTOPRODUCTION";;"https://open.spotify.com/track/1zuNV67lJZhLLO6ZkeMTSf"
"Merryn Jeann";"Dog beach";"Talking to angels";2024;1712115695;1712115934;"https://music.apple.com/fr/album/talking-to-angels/1727185566?i=1727185573&uo=4";"RESCUE / RETURN RECORDS";"https://www.deezer.com/track/2621444022";"https://open.spotify.com/track/5EGmBN3AfarmKx6IgzoQBH"
"Revue Blanche";"Misia";"12 Mélodies : 2. Temps de neige - arrangement pour soprano flûte traversière alto et harpe";2022;1712115934;1712116072;;"ANTARCTICA";;
"Nancy Wilson";"Women in love / vol.2";"Born to be blue";2005;1712116072;1712116206;;"NOVA RECORDS";"https://www.deezer.com/track/857472772";
"Kiefer";"When there’s love around";"Crybaby";2021;1712116206;1712116486;"https://music.apple.com/fr/album/crybaby/1564845297?i=1564845396&uo=4";"STONES THROW";"https://www.deezer.com/track/1367087982";"https://open.spotify.com/track/1cmT8FoyHG61aBeyPnAOF2"
"Curtis Mayfield";"BOF / Superfly";"Pusherman";1972;1712116485;1712116781;;"CURTOM";;"https://open.spotify.com/track/7zrPswSV1yxrill5OyCuaU"
"The Bas Lexter Ensample";"Tres greatful amigos";"Last time last chance";2012;1712116793;1712116873;;"DEJA - TUNES";;"https://open.spotify.com/track/1fuE4zDmzlWoqMXlkq3xP3"
"Celia Cruz";"The mambo kings play songs of love";"Tamborilero";1960;1712116873;1712117016;;"MEDIA7";;"https://open.spotify.com/track/0B6ROzru4bz7aBinsTwatL"
"Dean Martin";"Dino the essential Dean Martin";"Sway";1954;1712117015;1712117179;;"CAPITOL";;
"Summer Pearl";"Outmysystem";"Not my child";2023;1712117178;1712117354;;"KITTO RECORDS";;"https://open.spotify.com/track/0DkqYHy08eIiFo9HOUPhcD"
"Erika De Casier";"Still";"Toxic";2024;1712117354;1712117534;;"4AD";;"https://open.spotify.com/track/0NqydaxZRGM4ZQoYZRZuHS"
"Blundetto";"Cousin Zaka / Vol. 1";"The bells";2019;1712117531;1712117721;;"LUCIEN ENTERTAINMENT";;"https://open.spotify.com/track/0ZHjN4WmybM0MIhE2RHzJ2"
"Veronique Vincent Et Aksak Maboul";"Ex futur album";"Je pleure tout le temps";2014;1712117713;1712117959;;"CRAMMED DISCS";;
"The Cure";"Standing on a beach staring at the sea";"Boys don't cry";1979;1712117955;1712118109;;"POLYDOR";;
"Big Maybelle";"I smell a rat - Early black rock'n roll 1949-1959";"Ocean of tears";1955;1712118115;1712118264;;"HAZELWOOD RE";"https://www.deezer.com/track/1252661082";
"JD McPherson";"Undivided heart & soul";"Crying’s just a thing you do";2017;1712118262;1712118455;;"NEW WEST RECORDS";;"https://open.spotify.com/track/0cnwJ1WWMGVCnDbqpnB4LG"
"Savarit";"French riviera";"Nao sabemos";2023;1712118445;1712118645;;"LE POP CLUB RECORDS";"https://www.deezer.com/track/2532504881";"https://open.spotify.com/track/1uq9ADsiGRc3SMaYkERJfu"
"Alogte Oho & His Sounds Of Joy";"O yinne !";"Gure yose me";2023;1712118640;1712118889;;"PHILOPHON";;"https://open.spotify.com/track/46DijmQyhqOxHnrzZFgI2X"
"Bilal";"In another life";"Holding it back";2015;1712118892;1712119099;;"BBE";"https://www.deezer.com/track/594390862";
"Ray Charles";"The definitive Ray Charles";"Eleanor Rigby";1968;1712119097;1712119272;;"ATLANTIC";;
"Quatuor Amadeus";"Quatuor Amadeus : Intégrale des enregistrements DGG cd 68";"Quatuor à cordes en ut min : 2. Scherzo : allegro vivace";2017;1712119271;1712119426;;"DGG";;
"Melanie";"Cri d'amour";"La belle histoire";2022;1712119423;1712119596;;"COMET RECORDS";;"https://open.spotify.com/track/1gnSD4htfqduB0dHLKF4By"
"Sufjan Stevens";"Javelin";"Will anybody ever love me";2023;1712119595;1712119842;;"ASTHMATIC KITTY / MODULOR";;
"Vickie & The Van Dykes";"Basement beehive : The girl group underground";"I wanna be a winner";;1712119835;1712119984;"https://music.apple.com/fr/album/i-wanna-be-a-winner/1222291280?i=1222291283&uo=4";"NUMERO GROUP";"https://www.deezer.com/track/145618002";"https://open.spotify.com/track/6njFp5ZN9I184cyxUlvvri"
"John Gregory";"The sound gallery / Vol.1";"Jaguar";1974;1712119982;1712120202;;"EMI";"https://www.deezer.com/track/538953962";
"Ed Motta";"Criterion of the senses";"The Tiki's broken there";2018;1712120200;1712120426;;"MEMBRAN";;
"Jimmy Smith";"I'm movin' on";"Hotel happiness";1967;1712120424;1712120597;;"BLUE NOTE";"https://www.deezer.com/track/116963770";"https://open.spotify.com/track/71DnS1sTlxOkEzVnSp5Cwg"
"Blossom Dearie";"Blossom Dearie";"Comment allez vous";1956;1712120424;1712120553;"https://music.apple.com/fr/album/comment-allez-vous/919626168?i=919626191&uo=4";"VERVE";"https://www.deezer.com/track/548677922";
"Joan As Police Woman";"The classic";"The classic";2014;1712120725;1712120929;"https://music.apple.com/fr/album/the-classic/1167361231?i=1167362866&uo=4";"PLAY IT AGAIN SAM";;"https://open.spotify.com/track/0NA3YtfWMHgHrx7LPXYJpz"
"Tuerie";"Papillon monarque";"Juste pour nous";2023;1712120930;1712121150;"https://music.apple.com/fr/album/juste-pour-nous/1684847761?i=1684848322&uo=4";"FOUFOUNE PALACE";"https://www.deezer.com/track/2255993107";"https://open.spotify.com/track/6zoKUHD1VECkVPQjvbXyxU"
"The Pro-Teens";"Doomsday / Curls";"Curls";2022;1712121150;1712121304;"https://music.apple.com/fr/album/curls/1632469019?i=1632469021&uo=4";"COLLEGE OF KNOWLEDGE RECORDS";;"https://open.spotify.com/track/6B9c8BxwfDGXKW2WyqVQz0"
"Quantic & Nidia Gongora";"E ye ye (EP)";"E ye ye (radio edit)";2018;1712121302;1712121522;;"TRU THOUGHTS";;
"Fruit Bats";"A river running to your heart";"Sick of this feeling";2023;1712121522;1712121733;"https://music.apple.com/fr/album/sick-of-this-feeling/1659101768?i=1659102681&uo=4";"MERGE RECORDS";"https://www.deezer.com/track/2063484577";"https://open.spotify.com/track/4uofAamZ0yx9op14TjmQVp"
"Eagles";"Eagles";"Take it easy";1972;1712121730;1712121943;"https://music.apple.com/fr/album/take-it-easy/635791801?i=635791802&uo=4";"ASYLUM";"https://www.deezer.com/track/117233790";
"Dolly Parton";"Country soul sisters / Vol. 2";"Jolene";1974;1712121938;1712122095;;"SOUL JAZZ RECORDS";;"https://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn"
"Beastie Boys";"The in sound from way out!";"Ricky's theme";1996;1712122093;1712122317;;"CAPITOL";"https://www.deezer.com/track/3129883";"https://open.spotify.com/track/2y5PBBac3bYilEkad4qbet"
"Jalen Ngonda";"Come around and love me";"Rapture";2023;1712122315;1712122462;"https://music.apple.com/fr/album/rapture/1675144720?i=1675144914&uo=4";"DAPTONE RECORDS / MODULOR";"https://www.deezer.com/track/2172217427";"https://open.spotify.com/track/3osAKU8N7haVZCfmvVC9gr"
"Hanni El Khatib";"Flight";"Peace";2020;1712122462;1712122607;"https://music.apple.com/fr/album/peace/1502555123?i=1502555603&uo=4";"BECAUSE MUSIC";;"https://open.spotify.com/track/2Rw8sE3aZgjhQVsLYVHFwC"
"Bonnie Banane";"Franchement";"Franchement";2023;1712122606;1712122756;;"PECHE MIGNON - GRAND MUSIQUE MANAGEMENT";"https://www.deezer.com/track/2596471692";
"Takeshi Terauchi";"Nippon guitars/Instrumental surf, eleki & tsugaru rock 1966-1974";"Kuroda bushi";1966;1712122755;1712122906;;"BIGBEAT INTERNATIONAL";;
"Aki Izumi";"Nippon girls: Japanese pop, beat & bossa nova 1966-1970";"Koi wa heart";1967;1712122905;1712123036;;"BIGBEAT";;
"Chubby Checker";"Kosher nostra jewish gangsters";"Misirlou";1962;1712123035;1712123198;;"ESSAY";"https://www.deezer.com/track/667414512";
"Lisa Ekdahl";"Back to earth";"Now or never";1998;1712123198;1712123410;"https://music.apple.com/fr/album/now-or-never/339069795?i=339069848&uo=4";"BMG";"https://www.deezer.com/track/10245027";
"Eric Legnini";"Miss soul";"Home sweet soul";2006;1712123409;1712123647;;"LABEL BLEU";;
"Voyou";"Les royaumes minuscules";"Les insectes";2023;1712123646;1712123846;"https://music.apple.com/fr/album/les-insectes/1656771718?i=1656771952&uo=4";"SONY MUSIC";;"https://open.spotify.com/track/17nHtKXQRXjyXb7YpFf9gB"
"Gruff Rhys";"Sadness sets me free";"Sadness sets me free";2024;1712123844;1712124164;"https://music.apple.com/fr/album/sadness-sets-me-free/1706554248?i=1706554251&uo=4";"ROUGH TRADE RECORDS";"https://www.deezer.com/track/2607903102";"https://open.spotify.com/track/10qfBhksMSlS0AMO04xMnK"
"Travelling Quartet";"All you need is : 14 chansons arrangées pour quatuor à cordes";"In my life";2010;1712124161;1712124310;"https://music.apple.com/fr/album/in-my-life/392001841?i=392001862&uo=4";"REGIE ORCHES";"https://www.deezer.com/track/7067757";"https://open.spotify.com/track/6ctw5eVrahnFIr5xdLBPYl"
"Nina Hagen";"Irgendwo auf der welt";"An einem tag im frühling";2006;1712124308;1712124483;;"ISLAND";;
"Bjork";"Gling-gló";"Gling gló";1990;1712124482;1712124639;;"SMEKKLEYSA";;"https://open.spotify.com/track/3PNdIepH1Dmch0gCKCv6EU"
"Yaron Herman";"Follow the white rabbit";"No surprises";2010;1712124636;1712124806;;"ACT";;"https://open.spotify.com/track/31GXk7ii10H2Mx1cvHO5TI"
"Marion Rampal";"Oizel";"Oizeau";2024;1712124806;1712124997;"https://music.apple.com/fr/album/oizeau/1721394113?i=1721395622&uo=4";"LES RIVIERES SOUTERRAINES";;"https://open.spotify.com/track/4wyCDEypGKhCcvh1itrYVo"
"Adi Oasis";"Lotus glow";"Sidonie";2023;1712124993;1712125189;;"UNITY GROUP";"https://www.deezer.com/track/2071647257";"https://open.spotify.com/track/0CARDWgulJdJvDFlbpryvw"
"Oma";"Bread 'n' Butter";"You know how we do it";2024;1712125187;1712125343;;;;"https://open.spotify.com/track/6zL5xaIkiPvS2LcpgRxoMX"
"Oan Kim & The Dirty Jazz";"Rebirth of Innocence";"Tall man little horse";2024;1712125340;1712125509;;"ARTWORK RECORDS / PIAS";;
"Project Gemini";"Colours & light";"Colours & light";2024;1712125508;1712125768;"https://music.apple.com/fr/album/colours-light/1721546677?i=1721546930&uo=4";"MR BONGO";"https://www.deezer.com/track/2586340142";"https://open.spotify.com/track/3sZ4mjpc63AbiTY7S5cGPA"
"Onder Bali";"Turkish freakout / Psycho-folk singles 1969-1980";"Karni buyuk koca dunya";1974;1712125767;1712125904;;"BOUZOUK";;
"Altin Gun";"On";"Tatli dile güler yüze";2018;1712125905;1712126068;;"BONGO JOE";;"https://open.spotify.com/track/4ZXNMQ1V2Rogc4uYN4bnHi"
"Johan Papaconstantino";"Premier degré";"Mon chat danse (feat. Prosper)";2023;1712126066;1712126321;"https://music.apple.com/fr/album/mon-chat-danse-feat-prosper/1664895587?i=1664896326&uo=4";"ANIMAL63";;
"Doja Cat";"Paint the town red";"Paint the town red";2023;1712126319;1712126525;;"RCA";"https://www.deezer.com/track/2387373015";"https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7"
"Leon Phal";"Stress killer";"Clarity";2023;1712126520;1712126701;;"HEAVENLY SWEETNESS";"https://www.deezer.com/track/2342875315";"https://open.spotify.com/track/6mS1was1zrbSgvhX1gPGjs"
"John Lennon";"Imagine";"Imagine";1971;1712126699;1712126879;"https://music.apple.com/fr/album/imagine/1440853752?i=1440853776&uo=4";"EMI";;
"Oasis";"(what's the story) morning glory";"Don't look back in anger";1995;1712126877;1712127164;"https://music.apple.com/fr/album/dont-look-back-in-anger/1517447039?i=1517447336&uo=4";"SONY";"https://www.deezer.com/track/985722002";"https://open.spotify.com/track/7ppPZa3TRUSGKaks9wH7VT"
"Surprise Chef";"All news is good news";"Have you fed baby Huey today";2020;1712127163;1712127324;;"MR BONGO";;"https://open.spotify.com/track/6HamqpndailP6wZUFRABhL"
"Gus Levy";"Magia magia";"Voce passa";2020;1712127322;1712127521;;"180G";;"https://open.spotify.com/track/1YlnEdwmbtUyXhMhW5tQeE"
"Dag";"Righteous";"Home";1994;1712127518;1712127715;"https://music.apple.com/fr/album/home/1606962027?i=1606962126&uo=4";"COLUMBIA";"https://www.deezer.com/track/1633950262";"https://open.spotify.com/track/0zKtA53vcFlAkmJ5YGomDz"
"Sir Julian";"Ultra-lounge, vol 11, Organs in orbit";"A man and a woman";1967;1712127702;1712127851;;"CAPITOL";;
"Dinah Washington";"The best of Dinah Washington - Mad about the boy";"Everybody loves somebody";1959;1712127850;1712127996;;"MERCURY";;
"Pauline Catlin";"I'm in love with a dreadlocks : Brown Sugar and the birth of lovers rock 1977-80";"Runaway love";1978;1712127994;1712128202;;"SOUL JAZZ RECORDS";;
"Alice Phoebe Lou";"Touch";"Touch";2020;1712128201;1712128406;"https://music.apple.com/fr/album/touch/1518642121?i=1518642486&uo=4";"ALICE PHOEBE LOU";;"https://open.spotify.com/track/42Hpc8XPge3luc59kd05DL"
"Jones";"Kaléidoscope";"Star";2024;1712128403;1712128638;;"UNITY";;"https://open.spotify.com/track/2QKzMseogTEJuEqVkESSUS"
"Alcynoos & Parental";"Shapes";"Corner";2020;1712128637;1712128793;"https://music.apple.com/fr/album/corner/1672799693?i=1672799708&uo=4";"BEAT JAZZ INTERNATIONAL";;
"Chassol";"X-pianos";"Wisperfallow (vocal";2011;1712128790;1712128923;;"TRICATEL";;
"Anne Sofie Von Otter";"Watercolours - swedish songs";"Och riddaren for uti österland / Et le chevalier se rendit en terre sainte";2003;1712128921;1712129070;;"DEUTSCHE GRAMMOPHON";;
"Pepite";"Les années lumière";"Les années lumière";2024;1712129068;1712129307;"https://music.apple.com/fr/album/les-ann%C3%A9es-lumi%C3%A8re/1715677168?i=1715677939&uo=4";"MICROQLIMA";;"https://open.spotify.com/track/5uZkmIfuTal0Qz8ykSoiME"
"Elton John";"Lady samantha";"Bad side of the moon";1980;1712129302;1712129484;;"DJM@";;
"The Offline";"La couleur de la mer";"Un bout de chemin";2023;1712129482;1712129659;"https://music.apple.com/fr/album/un-bout-de-chemin/1691326092?i=1691327984&uo=4";"ROOT RECORDS";;"https://open.spotify.com/track/5qMKOQdYLAtS6Nbl2t7bMo"
"Thomas De Pourquery";"Let the monster fall";"Back from the war";2024;1712129658;1712129911;;"BELIEVE";;
"Andre Melo";"Onda de amor: Synthesized brazilian hits that never were (1984-94)";"Onda de amor";1985;1712129909;1712130115;;"SOUNDWAY";;
"Federic Caracas";"Hommage à Jacques Bracmort/La grosse poupée";"Touris o zanti'y";1988;1712130112;1712130341;;"DEBS MUSIC";;
"Gregory Privat";"Phoenix";"Phoenix";2024;1712130339;1712130576;"https://music.apple.com/fr/album/phoenix/1718047257?i=1718047270&uo=4";"Buddham Jazz";;"https://open.spotify.com/track/0Ktu7sLKIYFCvQsz4Tci6b"
"Dave Brubeck";"Time out";"Take five";1959;1712130575;1712130880;"https://music.apple.com/fr/album/take-five/539489004?i=539489527&uo=4";"COLUMBIA";;
"Yaya Bey";"Remember your north star";"Alright";2022;1712130879;1712131061;"https://music.apple.com/fr/album/alright/1610345642?i=1610345889&uo=4";"BIG DADA";;"https://open.spotify.com/track/5jjhDIxoYVuH7R8zvdzRpn"
"Happy End";"Happy End";"Kakurenbo hide and seek";1970;1712131060;1712131333;;"SURVIVAL RECORDS";;
"Akiko Yano";"Iroha ni konpeitou";"Potsun";1977;1712131330;1712131454;;"MIDI INC.";;
"Cousin Kula";"Vitamin D";"Poisoned";2024;1712131452;1712131693;;"RHYTHM SECTION ITNL.";"https://www.deezer.com/track/2555455362";"https://open.spotify.com/track/7bGLXkn45QhUOPGj8m3oDO"
"DJ Harrison";"Hazymood";"Candle lit";2017;1712131691;1712131842;;"STONES THROW";;
"Skinshape";"Life & Love";"Hurry and enjoy";2017;1712131840;1712131947;"https://music.apple.com/fr/album/hurry-and-enjoy/1231461693?i=1231462471&uo=4";"DLOAW & CO";;"https://open.spotify.com/track/6JPCcCZMedAuzn68ogyn7K"
"Welton Irie";"Darker than blue : Soul from Jamdown 1973 - 1980";"Hotter reggae music";1982;1712131948;1712132176;;"BLOOD AND FIRE LIMITED";;
"The Lijadu Sisters";"Afro - beat soul sisters";"Orere - Elejigbo";1979;1712132174;1712132423;;"SOUL JAZZ RECORDS";;
"Julia Sarr";"Njaboot";"Yene";2022;1712132421;1712132600;"https://music.apple.com/fr/album/y%C3%A9n%C3%A9/1659364365?i=1659365156&uo=4";"L'AUTRE DISTRIBUTION";;"https://open.spotify.com/track/3w1A8Rd2PYlG8EKm6M4Wbk"
"Shabaka";"Perceive its beauty, acknowledge its grace";"Kiss me before I forget";2024;1712132597;1712132770;;"IMPULSE";;
"Laurence-Anne";"Oniromancie";"Supernova";2023;1712132766;1712132993;"https://music.apple.com/fr/album/supernova/1664962278?i=1664962552&uo=4";"BONSOUND";;"https://open.spotify.com/track/18DXt3BXW8fJRbr25LUkWg"
"Buggles";"The age of plastic";"Video killed the radio star";1980;1712132988;1712133239;;"ISLAND";;
"Beach House";"Bloom";"Lazuli";2012;1712133236;1712133538;"https://music.apple.com/fr/album/lazuli/671860588?i=671860812&uo=4";"BELLA UNION";;"https://open.spotify.com/track/6HdMeOwJXD3oY1Thn1bsCY"
"Ponta Preta";"Tits up";"From Baya with love";2021;1712133536;1712133690;"https://music.apple.com/fr/album/from-baya-with-love/1558497119?i=1558497693&uo=4";"NO SURF RECORDS";;"https://open.spotify.com/track/7ccAWElTmy1caE9Sxp9feW"
"Los Revolucionarios (Soul Revolution)";"Panama ! 2 / Latin sounds, cumbia tropical & calypso funk on the Isthmus 1967-77";"Mi bella Panama";1970;1712133687;1712133867;;"SOWAY";;
"Trio Joroca";"Cha cha au harem (orientica France 1960-1964)";"On m’appelle l’oriental";2020;1712133865;1712133997;"https://music.apple.com/fr/album/on-mappelle-loriental/1527112941?i=1527114293&uo=4";"BORN BAD";;"https://open.spotify.com/track/1a8OcvfzGiERWajeNQFh7B"
"The Shangri Las";"The Dixie Cups Meet The Shangri-las";"Sophisticated boom-boom";1966;1712133996;1712134123;;"CHARLY RECORDS";;
